name,alcohol,sugar,acid,oz,style,glass,melt,ingredients,selected
Angostura Fizz,0,0.112687969924812,0.0157300846742288,2.66,fizz,coupe,0.33,Angostura bitters|lime juice|simple syrup|grenadine|heavy cream|egg white|soda water,1
Apple Toddy,0,0.0220514539704707,0,6.61333376,,,0.28,applejack|maple syrup|Angostura bitters|cinnamon tea,0
Applejack Old Fashioned,0,0.0560898471400235,0,2.6000004,built,old-fashioned,0.2,applejack|maple syrup|Angostura bitters,0
Blonde Redhead,0.0355603448275862,0.0892241379310345,0.00420258620689655,9.28,,,0.28,aperol|grapefruit juice|lemon juice|club soda,0
Trident,0.0423076923076923,0.0256410256410256,0,3.9,stirred,coupe,0.3,dry sherry|Cynar|aquavit|Fee Brothers peach bitters,0
The Bamboo,0.068359375,0.01171875,0.00234375,3.84,,,0.28,sherry|dry vermouth|orange bitters|Angostura bitters,0
Cricket Ball,0.0991735537190083,0.0275482093663912,0,4.5375,bubbly,flute,0.1,sugar|Peychaud's bitters|Fee Brothers rhubarb bitters|Lillet Rouge|champagne|lemon twist,0
Paloma,0.104166666666667,0.0751627604166667,0.008984375,7.68,,,0.28,tequila blanco|grapefruit juice|lime juice|simple syrup|club soda,1
Scotch Toddy,0.104166666666667,0.0596354166666667,0.00390625,7.68,,,0.28,blended scotch whiskey|honey|lemon juice|boiling water,0
Southside Cocktail,0.107744107744108,0.0637373737373737,0.00606060606060606,7.425,shaken,coupe,0.35,gin|mint leaves|lemon juice|simple syrup|club soda,0
Southside Fizz,0.108695652173913,0.0851902173913043,0.00611413043478261,7.36,,,0.28,mint leaves|cucumber wheel|simple syrup|gin|lime juice|club soda,1
Southland Sipper,0.109747023809524,0.0795386904761905,0.00669642857142857,6.72,,,0.28,strawberry|simple syrup|rye whiskey|Benedictine|lemon juice|Angostura bitters|club soda,0
Ramos Gin Fizz,0.112781954887218,0.0805451127819549,0.012593984962406,5.32,fizz,collins,0.33,Old Tom gin|egg white|heavy cream|orange flower water|simple syrup|lemon juice|lime juice|soda water|orange wheel,1
Moscow Mule,0.113636363636364,0.0672230113636364,0.00639204545454545,7.04,,,0.28,vodka|ginger syrup|lime juice|club soda,1
Tom Collins,0.113636363636364,0.0672230113636364,0.00639204545454545,7.04,,,0.28,gin|lemon juice|simple syrup|club soda,0
Bitter Guiseppe,0.117159763313609,0.0861538461538462,0.00497041420118343,4.225,stirred,coupe,0.3,Cynar|sweet vermouth|lemon juice|orange bitter,0
Bourbon Toddy,0.120967734131114,0.0154990219335308,0,6.61333376,,,0.28,bourbon whiskey|simple syrup|Angostura bitters|boiling water,0
Rum Toddy,0.120967734131114,0.0154990219335308,0,6.61333376,,,0.28,aged rum|simple syrup|Angostura bitters|boiling water,0
Hot Toddy,0.128528217514309,0.0154990219335308,0,6.61333376,,,0.28,rye whiskey|simple syrup|Angostura bitters|boiling water,0
Blood and Sand,0.129320987654321,0.0449382716049383,0.00209876543209877,4.05,shaken,coupe,0.35,blended scotch whiskey|sweet vermouth|Cheery Heering|orange juice|orange twist,0
Champagne Cocktail,0.133037694013304,0.0221729490022173,0,5.6375,bubbly,flute,0.1,champagne|sugar|Angostura bitters|lemon twist,0
Pisco Sour,0.133667502088555,0.0790726817042606,0.0075187969924812,5.985,fizz,coupe,0.33,pisco|egg white|simple syrup|lime juice|Angostura bitters,1
Brandy 75,0.134548611111111,0.0547743055555556,0.00520833333333333,5.76,,,0.28,cognac|lemon juice|simple syrup|champagne,0
French 75,0.134548611111111,0.0547743055555556,0.00520833333333333,5.76,,,0.28,gin|lemon juice|simple syrup|champagne,0
Pisco 75,0.134548611111111,0.0547743055555556,0.00520833333333333,5.76,,,0.28,strawberry|simple syrup|pisco|lemon juice|champagne,0
Rum 75,0.134548611111111,0.0547743055555556,0.00520833333333333,5.76,,,0.28,aged rum|lemon juice|simple syrup|champagne,0
Tequila 75,0.134548611111111,0.0447916666666667,0.00520833333333333,5.76,,,0.28,tequila blanco|lemon juice|agave nectar|champagne,0
Bitter French,0.137335526315789,0.0617598684210526,0.00493421052631579,6.08,,,0.28,gin|Campari|lemon juice|simple syrup|champagne,0
Old Hickory,0.141666666666667,0.0791666666666667,0.005,3.6,built,old-fashioned,0.2,sweet vermouth|dry vermouth|Peychaud's bitters|orange bitters|lemon twist,0
Margarita,0.142517399363481,0.109299478893435,0.0146889098730458,7.14825,shaken,coupe,0.35,tequila|triple sec|lime juice|lemon juice|simple syrup|salt,1
Whiskey Sour,0.146079484425349,0.0809881847475833,0.00644468313641246,5.81875,fizz,coupe,0.33,rye whiskey|egg white|simple syrup|lemon juice|salt,0
Scofflaw Cocktail,0.150462962962963,0.0716666666666667,0.00986111111111111,5.4,shaken,coupe,0.35,rye whiskey|dry vermouth|lemon juice|grenadine|orange bitter|orange twist,0
Gargoyle and Spire,0.159090909090909,0.0349431818181818,0,4.4,bubbly,highball,0.1,gin|Strega|simple syrup|orange bitters|champagne|orange twist,0
Classic Daiquiri,0.163473818646232,0.0971136653895275,0.010727969348659,4.89375,shaken,coupe,0.35,white rum|lime juice|simple syrup,1
Bee's Knees,0.169312169312169,0.10015873015873,0.00952380952380952,4.725,shaken,coupe,0.35,gin|lemon juice|honey simple syrup|lemon wheel,0
Brown Derby,0.169312169312169,0.0870899470899471,0.00507936507936508,4.725,shaken,coupe,0.35,bourbon whiskey|grapefruit juice|honey simple syrup|grapefruit twist,0
Gimlet,0.169312169312169,0.10015873015873,0.00952380952380952,4.725,shaken,coupe,0.35,gin|lime juice|simple syrup|lime wheel,1
Gold Rush,0.169312169312169,0.10015873015873,0.00952380952380952,4.725,shaken,old-fashioned,0.35,bourbon whiskey|lemon juice|honey simple syrup,0
Honeysuckle,0.169312169312169,0.10015873015873,0.00952380952380952,4.725,shaken,coupe,0.35,white rum|lime juice|honey simple syrup|lime wheel,1
Summer Negroni,0.174479166666667,0.0963541666666667,0.0015625,3.84,,,0.28,gin|aperol|bianco vermouth,0
The Bitter Handshake,0.176923076923077,0.205128205128205,0.00307692307692308,3.9,stirred,old-fashioned,0.3,Fernet Branca|blood orange juice reduction|rye whiskey simple syrup|orange spiral,0
Daiquiri,0.178571428571429,0.105636160714286,0.0100446428571429,4.48,,,0.28,white rum|lime juice|simple syrup,1
20th Century Cocktail,0.179259259259259,0.20162962962963,0.00977777777777778,5.0625,shaken,coupe,0.35,gin|lemon juice|creme de cacao|Lillet Blanc,0
Abbey Cocktail,0.17962962962963,0.198888888888889,0.00259259259259259,4.05,shaken,coupe,0.35,gin|Lillet Blanc|orange juice|orange bitters|cherry,0
Corpse Reviver #2,0.17962962962963,0.225185185185185,0.0122222222222222,4.05,shaken,coupe,0.35,gin|lemon juice|Cointreau|Lillet Blanc|absinthe|orange twist,0
La Rosa,0.180027173913043,0.0651494565217391,0.00611413043478261,7.36,,,0.28,strawberry|simple syrup|tequila blanco|amaro|lemon juice|pink champagne,0
Brandy Alexander,0.182336182336182,0.0418803418803419,0.0015954415954416,4.3875,shaken,coupe,0.35,cognac|heavy cream|simple syrup|grated nutmeg,0
Penicillin,0.186153846153846,0.0970769230769231,0.00923076923076923,4.875,stirred,coupe,0.3,blended scotch whiskey|lemon juice|honey simple syrup|fresh ginger|Islay scotch whiskey,0
Hemingway Daiquiri,0.18962962962963,0.0472098765432099,0.0112592592592593,5.0625,shaken,coupe,0.35,white rum|lime juice|grapefruit juice|Luxardo Maraschino|salt|lime wheel,1
Cosmopolitan,0.190476190476191,0.0624867724867725,0.0120634920634921,4.725,shaken,coupe,0.35,Absolut Citron vodka|Cointreau|cranberry juice|lime juice|orange twist,1
Sawyer,0.197530864197531,0.0779012345679012,0.00740740740740741,4.05,shaken,old-fashioned,0.35,gin|lime juice|simple syrup|Angostura bitters|Peychaud's bitters|orange bitters,1
Harvard Cocktail,0.201041641536462,0.0557407763657363,0.00555555513888894,3.60000045,shaken,coupe,0.35,cognac|sweet vermouth|lemon juice|grenadine|Angostura bitters|lemon twist,0
Original Cosmopolitan,0.222222222222222,0.0546759259259259,0.01,5.4,shaken,coupe,0.35,Absolut Citron vodka|Cointreau|cranberry juice|lime juice|orange twist,1
