"","labels","stat","value"
"1",1,"deadWorld",48.875
"2",1,"debrisNum",6.5
"3",1,"grassNum",27.5
"4",1,"rabbitEn",69.375
"5",1,"rabbitFa",12.5
"6",1,"rabbitNum",12.75
"7",1,"rabbitRe",101.75
"8",1,"wolfEn",294.375
"9",1,"wolfFa",17.625
"10",1,"wolfNum",4
"11",1,"wolfRe",399.75
"12",2,"deadWorld",71.125
"13",2,"debrisNum",10.5
"14",2,"grassNum",26
"15",2,"rabbitEn",71
"16",2,"rabbitFa",8.875
"17",2,"rabbitNum",15.25
"18",2,"rabbitRe",108.25
"19",2,"wolfEn",291.625
"20",2,"wolfFa",15.625
"21",2,"wolfNum",2.125
"22",2,"wolfRe",394.5
"23",3,"deadWorld",28
"24",3,"debrisNum",14.5
"25",3,"grassNum",25.875
"26",3,"rabbitEn",71.875
"27",3,"rabbitFa",13.125
"28",3,"rabbitNum",18.5
"29",3,"rabbitRe",100.625
"30",3,"wolfEn",301
"31",3,"wolfFa",22.125
"32",3,"wolfNum",2.75
"33",3,"wolfRe",394
"34",4,"deadWorld",171.375
"35",4,"debrisNum",14.875
"36",4,"grassNum",28.5
"37",4,"rabbitEn",88
"38",4,"rabbitFa",6
"39",4,"rabbitNum",17.125
"40",4,"rabbitRe",116.75
"41",4,"wolfEn",311.125
"42",4,"wolfFa",8.625
"43",4,"wolfNum",6.875
"44",4,"wolfRe",418.625
"45",5,"deadWorld",195.125
"46",5,"debrisNum",21.5
"47",5,"grassNum",36.5
"48",5,"rabbitEn",105
"49",5,"rabbitFa",5
"50",5,"rabbitNum",19.75
"51",5,"rabbitRe",132.875
"52",5,"wolfEn",306.25
"53",5,"wolfFa",5
"54",5,"wolfNum",10.5
"55",5,"wolfRe",432.5
"56",6,"deadWorld",317.125
"57",6,"debrisNum",29.5
"58",6,"grassNum",44.5
"59",6,"rabbitEn",102.5
"60",6,"rabbitFa",5
"61",6,"rabbitNum",25.5
"62",6,"rabbitRe",113
"63",6,"wolfEn",337.5
"64",6,"wolfFa",5
"65",6,"wolfNum",8.5
"66",6,"wolfRe",418.75
"67",7,"deadWorld",182.25
"68",7,"debrisNum",37.5
"69",7,"grassNum",52.5
"70",7,"rabbitEn",102.5
"71",7,"rabbitFa",5
"72",7,"rabbitNum",32
"73",7,"rabbitRe",113
"74",7,"wolfEn",370
"75",7,"wolfFa",5
"76",7,"wolfNum",9.5
"77",7,"wolfRe",425
"78",8,"deadWorld",319.75
"79",8,"debrisNum",45.5
"80",8,"grassNum",60.5
"81",8,"rabbitEn",118.75
"82",8,"rabbitFa",5
"83",8,"rabbitNum",29.25
"84",8,"rabbitRe",130.75
"85",8,"wolfEn",342.5
"86",8,"wolfFa",5
"87",8,"wolfNum",15
"88",8,"wolfRe",445
"89",9,"deadWorld",310.25
"90",9,"debrisNum",53.5
"91",9,"grassNum",68.5
"92",9,"rabbitEn",156.25
"93",9,"rabbitFa",5
"94",9,"rabbitNum",33.75
"95",9,"rabbitRe",172
"96",9,"wolfEn",302.5
"97",9,"wolfFa",5
"98",9,"wolfNum",20.75
"99",9,"wolfRe",441.25
"100",10,"deadWorld",227
"101",10,"debrisNum",59.5
"102",10,"grassNum",74.5
"103",10,"rabbitEn",165
"104",10,"rabbitFa",5
"105",10,"rabbitNum",35.5
"106",10,"rabbitRe",181.75
"107",10,"wolfEn",272.5
"108",10,"wolfFa",5
"109",10,"wolfNum",24.5
"110",10,"wolfRe",467.5
