years,firstExt,firstExtSTD,deadWorld,deadWorldSTD,id,wolfEn,wolfRe,wolfFa,rabbitEn,rabbitRe,rabbitFa,wolfNum,rabbitNum,grassNum,debrisNum
500, 500.0, 0.0, 500.0, 0.0, 'J13PNP', 150, 420, 5, 220, 242.0, 5, 17, 48, 1, 46
500, 159.0, 0.0, 159.0, 0.0, 'PXTIBA', 145, 425, 5, 225, 248.0, 5, 16, 49, 1, 47
500, 161.0, 0.0, 161.0, 0.0, '9KOWXP', 140, 430, 5, 230, 253.0, 5, 17, 50, 1, 48
500, 500.0, 0.0, 500.0, 0.0, 'OYLVSF', 135, 435, 5, 235, 258.0, 5, 18, 51, 1, 49
500, 500.0, 0.0, 500.0, 0.0, 'IVSFTR', 130, 440, 5, 240, 264.0, 5, 19, 52, 1, 50
500, 109.0, 0.0, 109.0, 0.0, 'B51VLV', 125, 445, 5, 245, 270.0, 5, 20, 53, 1, 51
500, 211.0, 0.0, 211.0, 0.0, '9H4XPC', 120, 450, 5, 250, 275.0, 5, 21, 54, 1, 52
500, 500.0, 0.0, 500.0, 0.0, '2AG2C8', 115, 455, 5, 255, 280.0, 5, 20, 55, 1, 53
500, 500.0, 0.0, 500.0, 0.0, 'EGE35T', 110, 460, 5, 260, 286.0, 5, 19, 56, 1, 54
500, 203.0, 0.0, 203.0, 0.0, 'KT5JPL', 105, 465, 5, 265, 292.0, 5, 18, 57, 1, 55
500, 500.0, 0.0, 500.0, 0.0, 'I2IZ37', 100, 470, 5, 270, 297.0, 5, 19, 58, 1, 56
500, 500.0, 0.0, 500.0, 0.0, 'HQ00W8', 100, 475, 5, 275, 302.0, 5, 20, 59, 1, 57
500, 158.0, 0.0, 158.0, 0.0, 'PRY22D', 100, 480, 5, 280, 308.0, 5, 21, 60, 1, 58
500, 500.0, 0.0, 500.0, 0.0, 'I2ESWO', 100, 485, 5, 285, 314.0, 5, 20, 61, 1, 59
500, 118.0, 0.0, 118.0, 0.0, 'MN5MZF', 100, 490, 5, 290, 319.0, 5, 19, 62, 1, 60
