year,lat,long,name,energy
1,4,0,grass,86.0
1,3,-4,wolf,345.5
1,8,6,grass,96.0
1,7,8,rabbit,38.0
1,7,0,rabbit,82.0
1,-5,0,grass,64.0
1,1,2,rabbit,105.5
1,-1,0,grass,74.0
1,1,13,rabbit,62.0
1,1,-8,rabbit,132.5
1,-3,2,grass,63.0
1,1,0,debris,47.0
1,0,-3,rabbit,102.5
1,-6,-6,rabbit,69.5
1,3,0,rabbit,67.0
1,11,-6,grass,66.0
1,5,-1,grass,95.0
1,-2,-1,grass,73.0
1,4,1,wolf,374.8
1,0,9,debris,39.0
1,5,0,grass,75.0
1,-3,3,grass,121.0
1,-1,3,wolf,239.0
1,-7,0,rabbit,49.5
1,6,-4,grass,64.0
1,11,0,grass,109.0
1,-12,-8,debris,50.0
1,4,-7,rabbit,29.0
1,-5,11,grass,58.0
1,-8,-14,debris,23.0
1,-2,-9,rabbit,22.0
1,-4,-1,grass,100.0
1,-1,2,grass,70.0
1,1,-9,rabbit,23.0
1,1,1,grass,90.0
1,-7,1,rabbit,77.5
1,2,-3,rabbit,57.0
1,-2,10,debris,5.0
1,-5,-15,debris,14.0
1,-2,-8,grass,86.0
1,-2,-4,rabbit,59.8
1,3,3,debris,89.0
1,0,0,grass,102.0
1,-4,11,grass,98.0
1,-3,-12,debris,28.0
1,4,-3,grass,94.0
1,-8,-5,grass,109.0
1,-5,7,grass,120.0
1,-5,-22,debris,76.0
1,0,1,grass,67.0
1,-5,-4,rabbit,53.0
1,-4,-5,grass,77.0
1,6,0,grass,63.0
1,-1,-6,grass,102.0
1,-3,-3,rabbit,65.6
1,3,-5,rabbit,63.0
2,-2,-3,rabbit,57.4
2,4,0,wolf,432.2
2,8,6,grass,106.0
2,-3,-5,rabbit,51.8
2,-5,0,grass,74.0
2,-1,0,grass,84.0
2,1,-8,rabbit,66.2
2,-3,2,grass,73.0
2,1,0,debris,57.0
2,1,12,rabbit,57.0
2,8,9,rabbit,32.0
2,11,-6,grass,76.0
2,5,-1,grass,105.0
2,-2,-1,grass,83.0
2,0,9,debris,49.0
2,2,2,rabbit,44.4
2,5,0,rabbit,156.0
2,2,-5,rabbit,50.0
2,-3,3,grass,131.0
2,-7,0,rabbit,72.5
2,6,-4,grass,74.0
2,11,0,grass,119.0
2,-12,-8,debris,60.0
2,2,-9,rabbit,44.5
2,-1,4,wolf,211.0
2,-5,11,grass,68.0
2,-8,-14,debris,33.0
2,5,-8,rabbit,24.0
2,-4,-1,grass,110.0
2,1,-3,wolf,336.0
2,-1,-7,rabbit,51.0
2,-1,2,grass,80.0
2,1,1,rabbit,75.2
2,-2,10,debris,15.0
2,-5,-15,debris,24.0
2,-8,1,rabbit,43.9
2,3,3,debris,99.0
2,0,0,grass,112.0
2,0,-4,rabbit,97.5
2,-4,11,grass,108.0
2,-3,-12,debris,38.0
2,4,-3,grass,104.0
2,-8,-5,grass,119.0
2,-5,7,grass,130.0
2,-3,-6,rabbit,80.5
2,-5,-22,debris,86.0
2,0,1,grass,77.0
2,-1,-6,grass,112.0
2,0,-10,rabbit,18.0
2,-5,-7,rabbit,61.5
3,4,0,wolf,216.1
3,3,3,debris,49.5
3,3,1,wolf,338.7
3,-5,0,grass,84.0
3,1,-8,rabbit,35.2
3,-1,-4,rabbit,92.5
3,0,9,debris,59.0
3,-1,5,wolf,183.0
3,5,0,rabbit,78.0
