book,name,ingredient,unit,amount
Noah’s example book,Bourbon Toddy,Angostura bitters,dashes,2
Noah’s example book,Bourbon Toddy,boiling water,oz,3
Noah’s example book,Rum Toddy,aged rum,oz,2
Noah’s example book,Rum Toddy,simple syrup,tsp,1
Noah’s example book,Rum Toddy,Angostura bitters,dashes,2
Noah’s example book,Rum Toddy,boiling water,oz,3
Noah’s example book,Apple Toddy,applejack,oz,2
Noah’s example book,Apple Toddy,maple syrup,tsp,1
Noah’s example book,Apple Toddy,Angostura bitters,dashes,2
Noah’s example book,Apple Toddy,cinnamon tea,oz,3
Noah’s example book,Scotch Toddy,blended scotch whiskey,oz,2
Noah’s example book,Scotch Toddy,honey,tbl,1
Noah’s example book,Scotch Toddy,lemon juice,oz,0.5
Noah’s example book,Scotch Toddy,boiling water,oz,3
Noah’s example book,The Bamboo,sherry,oz,1.5
Noah’s example book,The Bamboo,dry vermouth,oz,1.5
Noah’s example book,The Bamboo,orange bitters,dashes,2
Noah’s example book,The Bamboo,Angostura bitters,dashes,1
Noah’s example book,French 75,gin,oz,1
Noah’s example book,French 75,lemon juice,oz,0.5
Noah’s example book,French 75,simple syrup,oz,0.5
Noah’s example book,French 75,champagne,oz,2.5
Noah’s example book,Pisco 75,strawberry,each,1
Noah’s example book,Pisco 75,simple syrup,oz,0.5
Noah’s example book,Pisco 75,pisco,oz,1
Noah’s example book,Pisco 75,lemon juice,oz,0.5
Noah’s example book,Pisco 75,champagne,oz,2.5
Noah’s example book,Tequila 75,tequila blanco,oz,1
Noah’s example book,Tequila 75,lemon juice,oz,0.5
Noah’s example book,Tequila 75,agave nectar,oz,0.5
Noah’s example book,Tequila 75,champagne,oz,2.5
Noah’s example book,Rum 75,aged rum,oz,1
Noah’s example book,Rum 75,lemon juice,oz,0.5
Noah’s example book,Rum 75,simple syrup,oz,0.5
Noah’s example book,Rum 75,champagne,oz,2.5
Noah’s example book,Brandy 75,cognac,oz,1
Noah’s example book,Brandy 75,lemon juice,oz,0.5
Noah’s example book,Brandy 75,simple syrup,oz,0.5
Noah’s example book,Brandy 75,champagne,oz,2.5
Noah’s example book,Bitter French,gin,oz,1
Noah’s example book,Bitter French,Campari,oz,0.25
Noah’s example book,Bitter French,lemon juice,oz,0.5
Noah’s example book,Bitter French,simple syrup,oz,0.5
Noah’s example book,Bitter French,champagne,oz,2.5
Liquid Intelligence,Widow's Kiss,apple brandy,oz,2
Liquid Intelligence,Widow's Kiss,Benedictine,oz,0.25
Liquid Intelligence,Widow's Kiss,Yellow Chartreuse,oz,0.25
Liquid Intelligence,Widow's Kiss,Angostura bitters,dashes,2
Liquid Intelligence,De La Louisiane,rye whiskey,oz,2
Liquid Intelligence,De La Louisiane,Benedictine,oz,0.5
Liquid Intelligence,De La Louisiane,sweet vermouth,oz,0.5
Liquid Intelligence,De La Louisiane,Peychaud's bitters,dashes,3
Liquid Intelligence,De La Louisiane,Angostura bitters,dashes,3
Liquid Intelligence,De La Louisiane,absinthe,dashes,3
Liquid Intelligence,De La Louisiane,cherry,garnish,1
Liquid Intelligence,Improved Whiskey Cocktail,rye whiskey,oz,2
Liquid Intelligence,Improved Whiskey Cocktail,simple syrup,oz,0.25
Liquid Intelligence,Improved Whiskey Cocktail,Luxardo Maraschino,oz,0.25
Liquid Intelligence,Improved Whiskey Cocktail,Angostura bitters,dashes,2
Liquid Intelligence,Improved Whiskey Cocktail,absinthe,rinse,1
Liquid Intelligence,Improved Whiskey Cocktail,lemon twist,garnish,1
Liquid Intelligence,Rusty Nail,blended scotch whiskey,oz,2
Liquid Intelligence,Rusty Nail,Drambuie,oz,0.5
Liquid Intelligence,Rusty Nail,lemon peel,garnish,1
Imbibe,Penicillin,blended scotch whiskey,oz,2
Imbibe,Penicillin,lemon juice,oz,0.75
Imbibe,Penicillin,honey syrup,oz,0.75
Imbibe,Penicillin,fresh ginger,slices,3
Imbibe,Penicillin,Islay scotch whiskey,oz,0.25
Liquid Intelligence,Bijou,gin,oz,1
Liquid Intelligence,Bijou,sweet vermouth,oz,1
Liquid Intelligence,Bijou,Green Chartreuse,oz,1
Liquid Intelligence,Bijou,orange bitters,dash,1
Liquid Intelligence,Bijou,cherry,garnish,1
Liquid Intelligence,Bijou,lemon twist,garnish,1
Liquid Intelligence,Brooklyn,rye whiskey,oz,2
Liquid Intelligence,Brooklyn,Amer Picon,oz,0.5
Liquid Intelligence,Brooklyn,dry vermouth,oz,0.5
Liquid Intelligence,Brooklyn,Luxardo Maraschino,oz,0.25
Liquid Intelligence,Brooklyn,Angostura bitters,dash,1
Liquid Intelligence,Brooklyn,cherry,garnish,1
Liquid Intelligence,Vieux Carre,rye whiskey,oz,1
Liquid Intelligence,Vieux Carre,cognac,oz,1
Liquid Intelligence,Vieux Carre,sweet vermouth,oz,0.75
Liquid Intelligence,Vieux Carre,Benedictine,oz,0.25
Liquid Intelligence,Vieux Carre,Angostura bitters,dash,1
Liquid Intelligence,Vieux Carre,Peychaud's bitters,dash,1
Liquid Intelligence,Negroni,gin,oz,1
Liquid Intelligence,Negroni,sweet vermouth,oz,1
Liquid Intelligence,Negroni,Campari,oz,1
Liquid Intelligence,Negroni,orange twist,garnish,1
Lampo,Boulevardier,rye whiskey,oz,1.5
Lampo,Boulevardier,sweet vermouth,oz,1
Lampo,Boulevardier,Campari,oz,1
Lampo,Boulevardier,orange twist,garnish,1
Liquid Intelligence,Old Pal,rye whiskey,oz,2
Liquid Intelligence,Old Pal,dry vermouth,oz,0.75
Liquid Intelligence,Old Pal,Campari,oz,0.75
Liquid Intelligence,Rob Roy,blended scotch whiskey,oz,2.5
Liquid Intelligence,Rob Roy,sweet vermouth,oz,0.75
Liquid Intelligence,Rob Roy,Angostura bitters,dashes,2
Liquid Intelligence,Rob Roy,lemon twist,garnish,1
