grassNum,grassEn,grassRe,grassFa,wolfNum,wolfEn,wolfRe,wolfFa,rabbitNum,rabbitEn,rabbitRe,rabbitFa
3,85.3,131.3,0.0,1,279.0,368.0,12.0,12,81.7,92.7,7.4
3,95.3,131.3,0.0,1,267.0,368.0,12.0,16,70.8,98.5,7.3
2,106.0,127.0,0.0,1,255.0,368.0,12.0,17,64.8,100.1,7.2
1,109.0,115.0,0.0,1,243.0,368.0,12.0,17,61.5,100.1,7.2
1,119.0,115.0,0.0,1,231.0,368.0,12.0,18,52.8,100.1,7.0
3,66.7,119.2,1.7,1,219.0,368.0,12.0,17,48.9,101.1,6.8
2,78.1,115.3,2.5,1,207.0,368.0,12.0,16,47.0,102.2,6.4
2,88.1,115.3,2.5,1,195.0,368.0,12.0,14,46.6,102.3,6.1
2,98.1,115.3,2.5,1,183.0,368.0,12.0,14,40.6,102.3,6.1
2,108.1,115.3,2.5,1,171.0,368.0,12.0,13,37.1,103.6,6.0
3,82.2,115.6,3.6,1,159.0,368.0,12.0,12,33.9,105.1,6.1
3,92.2,115.6,3.6,1,147.0,368.0,12.0,9,41.7,103.8,5.1
4,78.6,115.1,3.9,1,135.0,368.0,12.0,8,41.1,105.6,5.1
4,88.6,115.1,3.9,1,123.0,368.0,12.0,8,35.9,105.6,5.1
4,98.6,115.1,3.9,1,111.0,368.0,12.0,7,35.7,107.8,5.0
5,88.9,115.3,4.2,1,99.0,368.0,12.0,7,30.7,107.8,5.0
5,98.9,115.3,4.2,1,87.0,368.0,12.0,7,25.7,107.8,5.0
7,80.7,115.0,4.4,1,75.0,368.0,12.0,7,26.2,107.8,5.0
7,90.7,115.0,4.4,1,63.0,368.0,12.0,5,29.6,107.7,5.0
8,90.0,114.9,4.5,1,51.0,368.0,12.0,4,31.2,110.5,5.0
9,89.9,114.9,4.6,1,39.0,368.0,12.0,4,26.2,110.5,5.0
9,99.9,114.9,4.6,1,27.0,368.0,12.0,3,29.5,112.0,5.1
12,84.8,114.9,4.7,1,15.0,368.0,12.0,3,24.4,112.0,5.1
14,88.0,115.5,4.4,1,3.0,368.0,12.0,3,19.3,112.0,5.1
16,86.8,115.4,4.5,0,,,,2,21.5,105.6,5.0
