year,lat,long,name,energy
1,7,-1,grass,121.0
1,0,-3,rabbit,129.5
1,4,8,debris,34.0
1,1,-1,debris,20.0
1,0,0,rabbit,64.4
1,8,5,rabbit,48.0
1,5,-1,grass,118.0
1,6,7,debris,22.0
1,0,-5,debris,49.0
1,3,3,grass,93.0
1,1,2,rabbit,42.0
1,4,4,debris,-5.0
1,-6,2,debris,31.0
1,-5,-6,grass,117.0
1,6,-6,debris,38.0
1,5,-6,rabbit,40.0
1,5,-5,debris,14.0
1,-2,6,rabbit,64.0
1,6,3,grass,106.0
1,-7,2,grass,107.0
1,5,0,rabbit,48.0
1,-4,2,grass,83.0
1,-2,-5,debris,37.0
1,-6,-1,rabbit,82.5
1,-5,-4,debris,61.0
1,6,0,rabbit,95.0
1,-1,-2,rabbit,117.0
1,4,0,rabbit,120.8
1,-1,3,debris,11.0
1,1,0,debris,0.0
1,2,3,debris,22.0
1,-9,-6,grass,104.0
1,-2,-8,rabbit,26.0
1,0,1,rabbit,48.8
1,-4,13,grass,113.0
1,4,-1,debris,36.0
1,7,8,rabbit,90.2
1,-4,-1,wolf,314.5
1,2,12,rabbit,30.0
1,3,-17,grass,105.0
1,-5,0,rabbit,41.5
1,6,8,rabbit,45.5
1,-4,7,debris,61.0
1,10,4,rabbit,72.0
1,2,5,rabbit,64.2
1,-3,3,grass,85.0
1,1,6,debris,44.0
1,0,-6,rabbit,46.0
1,-2,1,rabbit,54.0
1,-7,0,debris,48.0
1,-4,-3,rabbit,49.0
1,-7,-2,rabbit,47.0
1,2,1,rabbit,84.0
1,-3,4,grass,107.0
1,3,4,rabbit,75.6
1,-4,1,debris,54.0
2,7,-1,rabbit,160.5
2,3,1,rabbit,57.0
2,-4,7,debris,71.0
2,1,-1,debris,30.0
2,5,7,rabbit,36.5
2,-4,13,grass,123.0
2,-1,-3,rabbit,75.8
2,-2,-1,rabbit,65.9
2,4,8,debris,44.0
2,4,-6,rabbit,34.0
2,6,7,debris,32.0
2,3,3,rabbit,127.1
2,1,0,debris,10.0
2,4,4,debris,5.0
2,-6,2,debris,41.0
2,-1,1,rabbit,51.8
2,-7,2,grass,117.0
2,6,3,grass,116.0
2,4,-1,debris,46.0
2,-5,-4,debris,71.0
2,4,0,rabbit,60.4
2,-1,3,debris,21.0
2,2,3,debris,32.0
2,-6,0,wolf,364.3
2,-3,3,grass,95.0
2,1,1,rabbit,35.0
2,-7,-1,rabbit,37.0
2,-7,0,debris,58.0
2,3,13,rabbit,25.0
2,-3,4,grass,117.0
2,0,-3,rabbit,64.8
2,-4,1,debris,64.0
2,-3,6,rabbit,52.0
2,1,-6,rabbit,38.0
2,5,-1,rabbit,112.0
2,1,6,debris,54.0
2,3,6,rabbit,55.2
2,-5,-6,grass,127.0
2,6,-6,debris,48.0
2,-3,-7,rabbit,10.0
2,-2,-5,debris,47.0
2,-4,2,grass,93.0
2,-1,-2,rabbit,58.5
2,-1,0,rabbit,39.0
2,0,-5,debris,59.0
2,8,7,rabbit,81.7
2,2,2,rabbit,77.3
2,-9,-6,grass,114.0
2,11,5,rabbit,56.0
2,3,-17,grass,115.0
2,-5,-3,rabbit,40.0
2,9,4,rabbit,41.0
2,5,-5,debris,24.0
2,-1,2,rabbit,35.8
3,7,-1,rabbit,80.2
3,2,0,rabbit,50.2
3,-4,7,debris,81.0
3,1,-1,debris,40.0
3,-4,13,grass,133.0
3,-1,-3,rabbit,48.5
3,-2,0,rabbit,39.2
3,-2,-1,rabbit,24.0
3,4,8,debris,54.0
3,6,7,debris,42.0
3,3,12,rabbit,20.0
3,3,3,rabbit,63.6
3,1,0,debris,20.0
3,4,4,debris,15.0
3,-6,2,debris,51.0
3,4,2,rabbit,76.2
3,-3,7,rabbit,40.0
3,-7,2,grass,58.5
3,6,3,grass,126.0
3,-3,-1,rabbit,56.1
3,5,0,rabbit,54.4
3,4,-1,debris,56.0
3,-5,-4,debris,81.0
3,1,-2,rabbit,59.8
3,4,0,rabbit,94.8
3,-1,3,debris,31.0
3,2,3,debris,42.0
3,1,3,rabbit,70.5
3,1,-5,rabbit,30.0
3,-7,3,grass,95.7
3,10,4,rabbit,40.0
3,-3,3,grass,105.0
3,2,7,rabbit,46.2
3,-7,0,debris,68.0
