grassNum,grassEn,grassRe,grassFa,wolfNum,wolfEn,wolfRe,wolfFa,rabbitNum,rabbitEn,rabbitRe,rabbitFa
96,82.0,129.7,0.0,7,269.7,335.7,17.9,20,34.8,29.6,6.6
88,91.4,128.9,0.0,7,266.5,335.7,17.9,31,35.3,37.9,6.4
78,100.1,128.6,0.1,7,267.1,335.7,17.9,39,41.0,40.3,6.3
70,103.6,128.6,0.5,8,246.4,337.0,19.1,52,41.1,41.1,6.4
66,108.5,128.6,0.7,8,255.9,337.0,19.1,64,35.0,41.7,6.3
58,106.6,127.6,1.2,10,228.7,334.5,17.8,76,36.2,43.4,6.1
66,91.3,128.0,1.8,11,223.0,335.5,18.7,78,38.0,43.4,6.2
64,94.4,127.7,2.0,12,217.8,333.9,18.3,82,34.2,43.1,6.3
56,101.0,127.9,1.9,14,201.9,334.5,18.6,92,32.6,41.6,6.4
56,104.2,128.4,2.0,15,201.8,334.6,18.3,92,28.0,40.4,6.7
61,100.9,126.9,2.3,16,210.1,333.6,18.1,74,27.1,41.0,7.0
67,104.8,127.5,2.0,17,200.9,333.5,17.7,63,26.7,42.0,7.2
74,97.1,127.5,2.4,16,213.0,333.2,17.3,50,30.2,43.7,7.3
80,92.8,126.4,2.5,17,208.3,333.0,17.0,45,35.7,44.3,7.4
83,95.5,126.9,2.6,17,199.5,333.0,17.0,44,35.4,45.0,7.3
90,94.9,126.1,2.5,17,200.1,333.0,17.1,46,33.8,42.5,7.4
94,98.0,125.6,2.3,15,218.7,330.1,15.9,46,38.9,43.5,7.4
100,96.5,125.2,2.7,15,218.4,330.1,15.9,51,37.2,44.5,7.8
97,94.5,125.5,2.7,17,201.0,331.0,16.5,61,43.7,46.3,7.4
106,95.4,125.4,2.6,18,199.9,331.7,17.0,66,35.8,47.8,7.2
109,94.5,125.5,2.7,18,192.5,331.7,17.0,68,38.5,48.0,7.8
119,96.9,126.0,2.6,19,193.6,332.5,17.6,66,36.3,48.5,7.9
117,102.6,126.0,2.6,21,177.0,332.1,17.0,67,37.4,49.7,8.0
130,98.8,126.4,2.7,21,169.7,332.1,17.0,68,36.6,50.5,7.8
139,102.2,126.4,2.7,20,184.8,332.9,17.1,59,33.7,54.6,7.1
154,99.6,126.2,3.0,19,194.0,332.2,16.6,50,36.8,57.2,6.2
167,100.0,126.6,3.0,20,181.4,332.9,17.2,55,35.8,53.2,6.3
179,102.4,126.6,3.1,20,175.0,332.9,17.2,60,31.7,49.0,6.4
183,106.4,126.9,3.1,20,172.1,332.9,17.2,57,33.1,48.8,6.5
189,111.5,126.7,3.2,20,172.8,334.2,17.9,55,33.3,48.7,6.6
201,110.9,126.6,3.4,19,170.8,333.6,17.4,54,42.4,49.3,6.6
215,112.2,126.4,3.5,19,163.0,333.6,17.4,63,38.2,50.1,6.8
226,112.6,126.2,3.7,20,150.1,332.8,17.2,70,38.5,51.2,6.7
233,116.2,125.9,3.7,20,143.0,332.8,17.2,71,40.8,49.7,7.2
238,118.7,126.1,3.7,19,156.0,332.0,16.6,74,37.1,50.0,7.5
241,120.8,125.8,3.8,18,173.2,330.9,15.1,78,42.4,50.8,7.6
250,118.6,125.2,3.9,18,189.3,329.5,14.4,84,43.7,48.7,7.8
244,121.0,124.8,4.1,16,227.3,328.7,13.6,79,48.8,47.5,8.2
243,122.7,124.7,4.1,17,226.9,327.9,13.6,88,50.3,48.7,7.9
240,122.7,124.7,4.3,18,223.2,328.1,13.5,94,55.5,48.2,7.7
234,123.2,124.9,4.5,20,222.1,328.5,13.3,115,49.8,46.4,8.0
236,117.8,124.9,4.5,22,225.6,328.8,13.2,138,44.5,45.3,8.2
231,120.0,124.7,4.5,23,230.6,328.9,13.1,143,44.1,46.0,7.9
217,123.4,124.5,4.6,25,218.6,329.0,13.1,155,46.4,47.2,7.8
216,123.8,124.3,4.6,25,228.0,329.0,13.1,162,42.6,48.0,7.6
208,127.8,124.2,4.4,28,218.4,329.5,13.0,160,43.0,50.0,7.4
201,132.0,123.9,4.3,31,213.7,329.6,12.9,176,38.2,50.5,7.5
193,128.1,124.1,4.3,35,210.7,329.9,12.8,172,40.9,49.9,7.7
186,124.5,124.7,4.1,35,228.6,329.8,12.8,166,40.5,48.7,8.0
166,127.7,124.8,4.1,39,220.6,330.1,12.8,159,43.6,49.9,8.0
163,125.0,125.0,3.8,42,213.3,330.2,12.7,146,45.7,53.3,7.7
159,121.0,125.8,3.5,44,217.4,330.3,12.7,132,46.1,57.1,7.6
155,117.1,125.8,3.4,47,215.1,330.0,12.3,122,48.1,60.8,7.6
160,106.0,126.3,3.2,49,216.9,330.1,12.4,112,49.6,64.9,7.4
153,106.8,127.0,2.9,52,205.8,330.2,12.4,107,55.9,69.7,7.1
152,107.3,126.8,2.9,55,201.1,330.2,12.3,100,54.8,69.9,7.1
162,107.4,127.0,2.8,59,190.9,330.3,12.4,98,53.9,74.0,6.7
161,108.0,127.1,2.8,60,189.7,330.3,12.4,97,53.3,76.0,6.3
155,107.4,126.7,2.7,60,190.3,330.5,12.4,86,61.8,78.4,6.0
162,106.5,126.7,2.7,61,188.1,330.6,12.4,86,58.4,77.8,6.0
164,106.8,126.6,2.7,61,186.4,330.6,12.4,90,54.5,75.8,6.0
164,106.9,126.7,2.8,64,178.8,330.6,12.4,93,52.8,73.6,5.9
160,110.3,126.9,2.8,65,174.6,330.6,12.3,97,50.1,70.0,5.9
160,113.1,126.6,2.9,65,174.5,331.2,12.3,100,48.4,70.6,5.9
159,113.0,126.2,3.0,66,170.2,331.1,12.3,98,48.0,69.6,6.0
164,115.1,125.8,2.9,68,165.4,331.1,12.3,88,47.2,72.7,6.0
168,119.0,125.4,2.9,69,166.6,331.1,12.2,74,43.4,73.5,6.2
174,121.4,125.1,3.0,70,161.4,330.9,12.2,65,41.1,71.0,6.2
186,118.9,124.8,3.2,71,157.9,330.9,12.2,49,47.8,70.4,6.0
188,123.6,125.4,3.3,69,156.8,330.6,12.3,43,49.5,70.7,6.2
198,124.5,125.7,3.3,67,155.8,330.6,12.3,47,46.4,70.2,6.4
199,127.2,125.0,3.3,67,151.7,330.6,12.3,42,59.4,68.3,6.5
204,130.4,125.2,3.3,68,145.8,330.5,12.3,49,55.5,69.1,6.5
204,129.7,124.9,3.5,64,154.4,330.4,12.2,45,59.4,69.2,6.6
208,133.7,124.7,3.4,68,145.5,330.0,12.2,46,56.3,66.2,6.6
220,131.3,124.9,3.5,66,150.8,330.0,12.2,36,56.6,62.4,6.4
231,130.2,125.1,3.5,66,147.3,329.9,12.2,37,55.3,62.3,6.3
246,129.6,124.5,3.6,64,152.7,329.9,12.2,32,50.6,60.4,6.1
259,130.9,124.5,3.6,65,151.1,329.9,12.1,22,57.1,67.7,6.1
269,135.2,124.3,3.6,64,149.0,329.9,12.1,13,66.3,71.4,6.3
289,135.2,124.4,3.7,61,149.2,329.7,12.1,10,67.9,71.2,6.4
312,136.2,124.3,3.6,60,144.5,329.7,12.1,7,62.6,76.7,6.5
332,138.1,124.5,3.7,57,142.4,329.7,12.0,7,33.0,69.3,6.4
358,138.6,124.3,3.7,56,135.9,329.7,12.0,5,28.0,60.5,5.8
378,142.0,124.2,3.8,54,130.9,329.6,12.1,3,20.7,40.1,5.6
406,141.8,124.1,3.9,51,128.0,329.5,12.0,2,18.0,40.0,5.5
423,146.9,124.2,3.9,49,124.9,329.4,12.0,2,35.2,40.0,5.5
446,150.2,124.1,3.9,49,117.9,329.4,12.0,2,29.5,41.5,5.4
462,155.1,124.1,4.0,47,115.5,329.3,12.0,2,24.0,41.5,5.4
479,160.0,124.1,4.0,47,108.4,329.3,12.0,2,18.6,41.5,5.4
508,161.0,124.0,4.1,45,106.1,329.2,12.0,2,13.1,41.5,5.4
521,167.1,124.1,4.1,45,99.6,329.2,12.0,1,8.5,42.8,5.3
538,172.0,124.1,4.1,42,100.0,329.0,12.0,1,3.2,42.8,5.3
569,172.8,124.0,4.2,41,96.1,329.3,12.0,0,,,
