grassNum,grassEn,grassRe,grassFa,wolfNum,wolfEn,wolfRe,wolfFa,rabbitNum,rabbitEn,rabbitRe,rabbitFa
33,76.9,127.1,0.0,1,289.0,388.0,29.0,14,73.9,103.0,18.0
28,84.4,126.8,0.0,1,260.0,388.0,29.0,17,71.8,102.5,17.8
25,91.5,126.5,0.0,1,231.0,388.0,29.0,21,59.1,103.4,17.7
22,98.3,125.8,0.5,1,202.0,388.0,29.0,22,52.8,103.9,17.0
21,105.3,126.8,0.5,1,240.6,388.0,29.0,19,46.5,105.2,15.7
24,103.4,127.2,1.0,1,250.0,388.0,29.0,17,35.4,105.8,15.1
29,93.2,127.1,1.7,1,221.0,388.0,29.0,15,29.6,106.9,15.4
33,92.9,128.0,2.0,1,192.0,388.0,29.0,12,26.2,107.3,14.9
36,97.1,128.3,2.1,1,163.0,388.0,29.0,7,32.9,106.9,14.6
41,94.2,128.5,2.3,1,134.0,388.0,29.0,4,68.6,105.2,15.7
43,95.7,127.4,2.3,1,105.0,388.0,29.0,5,81.8,105.9,15.9
45,100.8,126.9,2.2,1,76.0,388.0,29.0,6,82.6,106.5,16.2
51,101.4,127.2,2.4,1,47.0,388.0,29.0,7,57.7,105.7,15.9
58,96.2,126.2,2.8,1,18.0,388.0,29.0,8,65.2,105.9,16.0
63,94.4,126.2,3.0,0,,,,9,70.9,105.4,15.8
