stat,value,year
008wolfEn,813.2,34
008wolfRe,1043.5,34
008wolfFa,5.1,34
2UDrabbitNum,516.0,34
2UDrabbitEn,44.4,34
2UDrabbitRe,66.2,34
2UDrabbitFa,6.2,34
2UDwolfNum,4.0,34
2UDwolfEn,1623.9,34
2UDwolfRe,2253.2,34
2UDwolfFa,5.1,34
grassNum,534.0,35
grassEn,168.0,35
grassRe,129.2,35
grassFa,2.3,35
KDFwolfNum,23.0,35
KDFwolfEn,265.9,35
KDFwolfRe,547.3,35
KDFwolfFa,5.3,35
008rabbitNum,235.0,35
008rabbitEn,34.1,35
008rabbitRe,45.4,35
008rabbitFa,5.9,35
KDFrabbitNum,72.0,35
KDFrabbitEn,186.8,35
KDFrabbitRe,348.2,35
KDFrabbitFa,6.8,35
008wolfNum,8.0,35
008wolfEn,829.8,35
008wolfRe,1043.5,35
008wolfFa,5.1,35
2UDrabbitNum,498.0,35
2UDrabbitEn,43.9,35
2UDrabbitRe,66.1,35
2UDrabbitFa,6.2,35
2UDwolfNum,4.0,35
2UDwolfEn,1668.0,35
2UDwolfRe,2253.2,35
2UDwolfFa,5.1,35
grassNum,551.0,36
grassEn,167.4,36
grassRe,129.5,36
grassFa,2.3,36
KDFwolfNum,23.0,36
KDFwolfEn,270.3,36
KDFwolfRe,547.3,36
KDFwolfFa,5.3,36
008rabbitNum,218.0,36
008rabbitEn,33.6,36
008rabbitRe,45.4,36
008rabbitFa,5.9,36
KDFrabbitNum,71.0,36
KDFrabbitEn,191.9,36
KDFrabbitRe,348.2,36
KDFrabbitFa,6.9,36
008wolfNum,9.0,36
008wolfEn,800.1,36
008wolfRe,1043.7,36
008wolfFa,5.2,36
2UDrabbitNum,479.0,36
2UDrabbitEn,43.5,36
2UDrabbitRe,66.2,36
2UDrabbitFa,6.1,36
2UDwolfNum,5.0,36
2UDwolfEn,1523.7,36
2UDwolfRe,2252.9,36
2UDwolfFa,5.1,36
grassNum,528.0,37
grassEn,174.4,37
grassRe,129.2,37
grassFa,2.3,37
KDFwolfNum,24.0,37
KDFwolfEn,256.9,37
KDFwolfRe,546.5,37
KDFwolfFa,5.3,37
008rabbitNum,208.0,37
008rabbitEn,34.6,37
008rabbitRe,45.6,37
008rabbitFa,5.9,37
KDFrabbitNum,73.0,37
KDFrabbitEn,197.7,37
KDFrabbitRe,348.1,37
KDFrabbitFa,6.9,37
008wolfNum,9.0,37
008wolfEn,815.6,37
008wolfRe,1043.7,37
008wolfFa,5.2,37
2UDrabbitNum,469.0,37
2UDrabbitEn,42.3,37
2UDrabbitRe,66.1,37
2UDrabbitFa,6.2,37
2UDwolfNum,5.0,37
2UDwolfEn,1571.6,37
2UDwolfRe,2252.9,37
2UDwolfFa,5.1,37
grassNum,531.0,38
grassEn,175.8,38
grassRe,129.3,38
grassFa,2.3,38
KDFwolfNum,25.0,38
KDFwolfEn,251.8,38
KDFwolfRe,546.2,38
KDFwolfFa,5.3,38
008rabbitNum,198.0,38
008rabbitEn,35.6,38
008rabbitRe,45.8,38
008rabbitFa,6.0,38
KDFrabbitNum,76.0,38
KDFrabbitEn,193.1,38
KDFrabbitRe,348.2,38
KDFrabbitFa,7.0,38
008wolfNum,9.0,38
008wolfEn,844.0,38
008wolfRe,1043.7,38
008wolfFa,5.2,38
2UDrabbitNum,446.0,38
2UDrabbitEn,41.5,38
2UDrabbitRe,65.9,38
2UDrabbitFa,6.3,38
2UDwolfNum,5.0,38
2UDwolfEn,1582.8,38
2UDwolfRe,2252.9,38
2UDwolfFa,5.1,38
grassNum,534.0,39
grassEn,174.4,39
grassRe,129.5,39
grassFa,2.4,39
KDFwolfNum,25.0,39
KDFwolfEn,252.0,39
KDFwolfRe,546.2,39
KDFwolfFa,5.3,39
008rabbitNum,198.0,39
008rabbitEn,36.3,39
008rabbitRe,45.6,39
008rabbitFa,6.0,39
KDFrabbitNum,79.0,39
KDFrabbitEn,191.5,39
KDFrabbitRe,348.2,39
KDFrabbitFa,7.0,39
008wolfNum,10.0,39
008wolfEn,817.7,39
008wolfRe,1044.2,39
008wolfFa,5.2,39
2UDrabbitNum,420.0,39
2UDrabbitEn,42.0,39
2UDrabbitRe,65.8,39
2UDrabbitFa,6.3,39
2UDwolfNum,5.0,39
2UDwolfEn,1587.5,39
2UDwolfRe,2252.9,39
2UDwolfFa,5.1,39
grassNum,532.0,40
grassEn,174.3,40
grassRe,129.4,40
grassFa,2.3,40
KDFwolfNum,26.0,40
KDFwolfEn,260.0,40
KDFwolfRe,546.0,40
KDFwolfFa,5.3,40
008rabbitNum,187.0,40
008rabbitEn,37.2,40
008rabbitRe,45.6,40
008rabbitFa,6.0,40
KDFrabbitNum,77.0,40
KDFrabbitEn,202.0,40
KDFrabbitRe,348.2,40
KDFrabbitFa,7.0,40
008wolfNum,10.0,40
008wolfEn,846.0,40
008wolfRe,1044.2,40
008wolfFa,5.2,40
2UDrabbitNum,402.0,40
2UDrabbitEn,40.4,40
2UDrabbitRe,65.8,40
2UDrabbitFa,6.3,40
2UDwolfNum,5.0,40
2UDwolfEn,1632.6,40
2UDwolfRe,2252.9,40
2UDwolfFa,5.1,40
grassNum,547.0,41
grassEn,171.6,41
grassRe,129.5,41
grassFa,2.4,41
KDFwolfNum,26.0,41
KDFwolfEn,265.0,41
KDFwolfRe,546.0,41
KDFwolfFa,5.3,41
008rabbitNum,173.0,41
008rabbitEn,36.5,41
008rabbitRe,45.8,41
008rabbitFa,6.0,41
KDFrabbitNum,79.0,41
KDFrabbitEn,196.6,41
KDFrabbitRe,348.3,41
KDFrabbitFa,7.1,41
008wolfNum,10.0,41
008wolfEn,877.4,41
008wolfRe,1044.2,41
008wolfFa,5.2,41
2UDrabbitNum,389.0,41
2UDrabbitEn,40.6,41
2UDrabbitRe,65.9,41
2UDrabbitFa,6.3,41
2UDwolfNum,5.0,41
2UDwolfEn,1641.4,41
2UDwolfRe,2252.9,41
2UDwolfFa,5.1,41
grassNum,563.0,42
grassEn,171.0,42
grassRe,129.7,42
grassFa,2.3,42
KDFwolfNum,27.0,42
KDFwolfEn,261.2,42
KDFwolfRe,545.4,42
KDFwolfFa,5.3,42
008rabbitNum,164.0,42
008rabbitEn,36.5,42
008rabbitRe,46.4,42
008rabbitFa,6.1,42
KDFrabbitNum,75.0,42
KDFrabbitEn,207.1,42
KDFrabbitRe,348.4,42
KDFrabbitFa,7.0,42
008wolfNum,11.0,42
008wolfEn,850.4,42
008wolfRe,1044.5,42
008wolfFa,5.2,42
2UDrabbitNum,372.0,42
2UDrabbitEn,42.0,42
2UDrabbitRe,66.0,42
2UDrabbitFa,6.2,42
2UDwolfNum,5.0,42
2UDwolfEn,1665.3,42
2UDwolfRe,2252.9,42
2UDwolfFa,5.1,42
grassNum,570.0,43
grassEn,170.5,43
grassRe,129.7,43
grassFa,2.4,43
KDFwolfNum,27.0,43
KDFwolfEn,262.2,43
KDFwolfRe,545.4,43
KDFwolfFa,5.3,43
008rabbitNum,164.0,43
008rabbitEn,39.2,43
008rabbitRe,46.9,43
008rabbitFa,6.1,43
KDFrabbitNum,78.0,43
KDFrabbitEn,202.8,43
KDFrabbitRe,348.4,43
KDFrabbitFa,7.0,43
008wolfNum,12.0,43
008wolfEn,825.1,43
008wolfRe,1044.9,43
008wolfFa,5.2,43
2UDrabbitNum,361.0,43
2UDrabbitEn,43.8,43
2UDrabbitRe,66.0,43
2UDrabbitFa,6.3,43
2UDwolfNum,5.0,43
2UDwolfEn,1680.5,43
2UDwolfRe,2252.9,43
2UDwolfFa,5.1,43
grassNum,579.0,44
grassEn,169.7,44
grassRe,129.6,44
grassFa,2.4,44
KDFwolfNum,27.0,44
KDFwolfEn,260.1,44
KDFwolfRe,545.4,44
KDFwolfFa,5.3,44
008rabbitNum,163.0,44
008rabbitEn,38.5,44
008rabbitRe,47.2,44
008rabbitFa,6.1,44
KDFrabbitNum,82.0,44
KDFrabbitEn,198.5,44
KDFrabbitRe,348.3,44
KDFrabbitFa,7.0,44
008wolfNum,12.0,44
008wolfEn,835.2,44
008wolfRe,1044.9,44
008wolfFa,5.2,44
2UDrabbitNum,364.0,44
2UDrabbitEn,43.8,44
2UDrabbitRe,66.0,44
2UDrabbitFa,6.3,44
2UDwolfNum,5.0,44
2UDwolfEn,1686.4,44
2UDwolfRe,2252.9,44
2UDwolfFa,5.1,44
grassNum,572.0,45
grassEn,171.5,45
grassRe,129.5,45
grassFa,2.4,45
KDFwolfNum,27.0,45
KDFwolfEn,260.4,45
KDFwolfRe,545.4,45
KDFwolfFa,5.3,45
008rabbitNum,161.0,45
008rabbitEn,36.6,45
008rabbitRe,47.5,45
008rabbitFa,6.2,45
KDFrabbitNum,90.0,45
KDFrabbitEn,182.9,45
KDFrabbitRe,348.5,45
KDFrabbitFa,7.0,45
008wolfNum,13.0,45
008wolfEn,807.5,45
008wolfRe,1044.8,45
008wolfFa,5.1,45
2UDrabbitNum,358.0,45
2UDrabbitEn,44.5,45
2UDrabbitRe,66.1,45
2UDrabbitFa,6.3,45
2UDwolfNum,5.0,45
2UDwolfEn,1687.7,45
2UDwolfRe,2252.9,45
2UDwolfFa,5.1,45
grassNum,571.0,46
grassEn,171.5,46
grassRe,129.5,46
grassFa,2.3,46
KDFwolfNum,27.0,46
KDFwolfEn,267.1,46
KDFwolfRe,545.4,46
KDFwolfFa,5.3,46
008rabbitNum,158.0,46
008rabbitEn,39.8,46
008rabbitRe,47.8,46
008rabbitFa,6.3,46
KDFrabbitNum,92.0,46
KDFrabbitEn,183.1,46
KDFrabbitRe,348.7,46
KDFrabbitFa,7.0,46
008wolfNum,14.0,46
008wolfEn,787.5,46
008wolfRe,1045.0,46
008wolfFa,5.1,46
2UDrabbitNum,355.0,46
2UDrabbitEn,44.0,46
2UDrabbitRe,66.1,46
2UDrabbitFa,6.3,46
2UDwolfNum,5.0,46
2UDwolfEn,1705.1,46
2UDwolfRe,2252.9,46
2UDwolfFa,5.1,46
grassNum,526.0,47
grassEn,177.7,47
grassRe,129.5,47
grassFa,2.3,47
KDFwolfNum,27.0,47
KDFwolfEn,266.0,47
KDFwolfRe,544.8,47
KDFwolfFa,5.3,47
008rabbitNum,161.0,47
008rabbitEn,36.2,47
008rabbitRe,48.0,47
008rabbitFa,6.3,47
KDFrabbitNum,91.0,47
KDFrabbitEn,214.5,47
KDFrabbitRe,348.8,47
KDFrabbitFa,7.0,47
008wolfNum,14.0,47
008wolfEn,811.8,47
008wolfRe,1045.0,47
008wolfFa,5.1,47
2UDrabbitNum,349.0,47
2UDrabbitEn,46.1,47
2UDrabbitRe,66.3,47
2UDrabbitFa,6.3,47
2UDwolfNum,5.0,47
2UDwolfEn,1709.6,47
2UDwolfRe,2252.9,47
2UDwolfFa,5.1,47
grassNum,531.0,48
grassEn,175.3,48
grassRe,129.5,48
grassFa,2.3,48
KDFwolfNum,27.0,48
KDFwolfEn,280.1,48
KDFwolfRe,544.8,48
KDFwolfFa,5.3,48
008rabbitNum,151.0,48
008rabbitEn,34.4,48
008rabbitRe,47.9,48
008rabbitFa,6.2,48
KDFrabbitNum,99.0,48
KDFrabbitEn,183.2,48
KDFrabbitRe,348.8,48
KDFrabbitFa,7.0,48
008wolfNum,15.0,48
008wolfEn,806.6,48
008wolfRe,1044.9,48
008wolfFa,5.2,48
2UDrabbitNum,340.0,48
2UDrabbitEn,48.0,48
2UDrabbitRe,66.4,48
2UDrabbitFa,6.3,48
2UDwolfNum,5.0,48
2UDwolfEn,1738.3,48
2UDwolfRe,2252.9,48
2UDwolfFa,5.1,48
grassNum,526.0,49
grassEn,172.3,49
grassRe,129.5,49
grassFa,2.1,49
KDFwolfNum,29.0,49
KDFwolfEn,261.1,49
KDFwolfRe,543.7,49
KDFwolfFa,5.3,49
008rabbitNum,142.0,49
008rabbitEn,31.4,49
008rabbitRe,47.5,49
008rabbitFa,6.1,49
KDFrabbitNum,102.0,49
KDFrabbitEn,189.5,49
KDFrabbitRe,348.8,49
KDFrabbitFa,6.9,49
008wolfNum,16.0,49
008wolfEn,802.7,49
008wolfRe,1045.3,49
008wolfFa,5.2,49
2UDrabbitNum,347.0,49
2UDrabbitEn,48.2,49
2UDrabbitRe,66.6,49
2UDrabbitFa,6.3,49
2UDwolfNum,6.0,49
2UDwolfEn,1605.2,49
2UDwolfRe,2252.6,49
2UDwolfFa,5.1,49
grassNum,510.0,50
grassEn,170.4,50
grassRe,129.5,50
grassFa,2.0,50
KDFwolfNum,29.0,50
KDFwolfEn,272.3,50
KDFwolfRe,543.7,50
KDFwolfFa,5.3,50
008rabbitNum,123.0,50
008rabbitEn,37.7,50
008rabbitRe,47.6,50
008rabbitFa,6.1,50
KDFrabbitNum,105.0,50
KDFrabbitEn,192.2,50
KDFrabbitRe,348.8,50
KDFrabbitFa,7.0,50
008wolfNum,18.0,50
008wolfEn,773.3,50
008wolfRe,1045.7,50
008wolfFa,5.2,50
2UDrabbitNum,355.0,50
2UDrabbitEn,45.8,50
2UDrabbitRe,66.7,50
2UDrabbitFa,6.4,50
2UDwolfNum,6.0,50
2UDwolfEn,1658.6,50
2UDwolfRe,2252.6,50
2UDwolfFa,5.1,50
grassNum,486.0,51
grassEn,172.4,51
grassRe,129.6,51
grassFa,2.0,51
KDFwolfNum,29.0,51
KDFwolfEn,273.0,51
KDFwolfRe,543.7,51
KDFwolfFa,5.3,51
008rabbitNum,124.0,51
008rabbitEn,34.3,51
008rabbitRe,48.3,51
008rabbitFa,6.1,51
KDFrabbitNum,113.0,51
KDFrabbitEn,186.1,51
KDFrabbitRe,348.9,51
KDFrabbitFa,7.1,51
008wolfNum,18.0,51
008wolfEn,791.7,51
008wolfRe,1045.7,51
008wolfFa,5.2,51
2UDrabbitNum,356.0,51
2UDrabbitEn,45.9,51
2UDrabbitRe,66.8,51
2UDrabbitFa,6.4,51
2UDwolfNum,6.0,51
2UDwolfEn,1660.9,51
2UDwolfRe,2252.6,51
2UDwolfFa,5.1,51
grassNum,475.0,52
grassEn,167.3,52
grassRe,129.6,52
grassFa,1.8,52
KDFwolfNum,29.0,52
KDFwolfEn,278.9,52
KDFwolfRe,544.0,52
KDFwolfFa,5.3,52
008rabbitNum,120.0,52
008rabbitEn,37.0,52
008rabbitRe,48.3,52
008rabbitFa,6.0,52
KDFrabbitNum,114.0,52
KDFrabbitEn,192.5,52
KDFrabbitRe,348.8,52
KDFrabbitFa,7.0,52
008wolfNum,18.0,52
008wolfEn,803.2,52
008wolfRe,1045.7,52
008wolfFa,5.2,52
2UDrabbitNum,356.0,52
2UDrabbitEn,43.9,52
2UDrabbitRe,66.9,52
2UDrabbitFa,6.4,52
2UDwolfNum,6.0,52
2UDwolfEn,1691.7,52
2UDwolfRe,2252.6,52
2UDwolfFa,5.1,52
grassNum,465.0,53
grassEn,165.1,53
grassRe,129.5,53
grassFa,1.7,53
KDFwolfNum,30.0,53
KDFwolfEn,293.4,53
KDFwolfRe,543.9,53
KDFwolfFa,5.3,53
008rabbitNum,120.0,53
008rabbitEn,36.4,53
008rabbitRe,47.9,53
008rabbitFa,5.9,53
KDFrabbitNum,119.0,53
KDFrabbitEn,173.4,53
KDFrabbitRe,348.8,53
KDFrabbitFa,6.9,53
008wolfNum,19.0,53
008wolfEn,801.7,53
008wolfRe,1045.6,53
008wolfFa,5.2,53
2UDrabbitNum,354.0,53
2UDrabbitEn,43.6,53
2UDrabbitRe,66.9,53
2UDrabbitFa,6.4,53
2UDwolfNum,6.0,53
2UDwolfEn,1718.4,53
2UDwolfRe,2252.6,53
2UDwolfFa,5.1,53
grassNum,452.0,54
grassEn,162.3,54
grassRe,129.0,54
grassFa,1.6,54
KDFwolfNum,33.0,54
KDFwolfEn,271.3,54
KDFwolfRe,543.6,54
KDFwolfFa,5.4,54
008rabbitNum,125.0,54
008rabbitEn,35.2,54
008rabbitRe,48.1,54
008rabbitFa,6.0,54
KDFrabbitNum,126.0,54
KDFrabbitEn,163.0,54
KDFrabbitRe,348.7,54
KDFrabbitFa,6.9,54
008wolfNum,20.0,54
008wolfEn,795.0,54
008wolfRe,1045.7,54
008wolfFa,5.2,54
2UDrabbitNum,351.0,54
2UDrabbitEn,45.4,54
2UDrabbitRe,67.0,54
2UDrabbitFa,6.4,54
2UDwolfNum,6.0,54
2UDwolfEn,1759.2,54
2UDwolfRe,2252.6,54
2UDwolfFa,5.1,54
grassNum,428.0,55
grassEn,160.9,55
grassRe,128.8,55
grassFa,1.6,55
KDFwolfNum,36.0,55
KDFwolfEn,264.3,55
KDFwolfRe,544.7,55
KDFwolfFa,5.5,55
008rabbitNum,124.0,55
008rabbitEn,39.6,55
008rabbitRe,47.7,55
008rabbitFa,5.9,55
KDFrabbitNum,123.0,55
KDFrabbitEn,170.8,55
KDFrabbitRe,348.9,55
KDFrabbitFa,7.0,55
008wolfNum,21.0,55
008wolfEn,783.7,55
008wolfRe,1045.6,55
008wolfFa,5.2,55
2UDrabbitNum,348.0,55
2UDrabbitEn,46.8,55
2UDrabbitRe,67.0,55
2UDrabbitFa,6.4,55
2UDwolfNum,7.0,55
2UDwolfEn,1661.4,55
2UDwolfRe,2252.7,55
2UDwolfFa,5.2,55
grassNum,415.0,56
grassEn,161.4,56
grassRe,128.4,56
grassFa,1.4,56
KDFwolfNum,35.0,56
KDFwolfEn,285.2,56
KDFwolfRe,544.8,56
KDFwolfFa,5.5,56
008rabbitNum,128.0,56
008rabbitEn,35.9,56
008rabbitRe,48.1,56
008rabbitFa,5.9,56
KDFrabbitNum,119.0,56
KDFrabbitEn,177.5,56
KDFrabbitRe,348.8,56
KDFrabbitFa,6.9,56
008wolfNum,22.0,56
008wolfEn,781.3,56
008wolfRe,1045.7,56
008wolfFa,5.2,56
2UDrabbitNum,350.0,56
2UDrabbitEn,45.1,56
2UDrabbitRe,67.0,56
2UDrabbitFa,6.3,56
2UDwolfNum,7.0,56
2UDwolfEn,1704.7,56
2UDwolfRe,2252.7,56
2UDwolfFa,5.2,56
grassNum,415.0,57
grassEn,160.1,57
grassRe,128.4,57
grassFa,1.6,57
KDFwolfNum,36.0,57
KDFwolfEn,290.2,57
KDFwolfRe,545.3,57
KDFwolfFa,5.5,57
008rabbitNum,135.0,57
008rabbitEn,37.9,57
008rabbitRe,48.2,57
008rabbitFa,5.9,57
KDFrabbitNum,114.0,57
KDFrabbitEn,168.7,57
KDFrabbitRe,348.7,57
KDFrabbitFa,6.9,57
008wolfNum,22.0,57
008wolfEn,790.5,57
008wolfRe,1045.7,57
008wolfFa,5.2,57
2UDrabbitNum,343.0,57
2UDrabbitEn,44.4,57
2UDrabbitRe,66.9,57
2UDrabbitFa,6.4,57
2UDwolfNum,7.0,57
2UDwolfEn,1730.7,57
2UDwolfRe,2252.7,57
2UDwolfFa,5.2,57
grassNum,422.0,58
grassEn,155.5,58
grassRe,128.2,58
grassFa,1.4,58
KDFwolfNum,35.0,58
KDFwolfEn,320.4,58
KDFwolfRe,545.1,58
KDFwolfFa,5.5,58
008rabbitNum,134.0,58
008rabbitEn,38.8,58
008rabbitRe,49.1,58
008rabbitFa,5.9,58
KDFrabbitNum,106.0,58
KDFrabbitEn,180.2,58
KDFrabbitRe,348.5,58
KDFrabbitFa,6.8,58
008wolfNum,22.0,58
008wolfEn,800.4,58
008wolfRe,1045.7,58
008wolfFa,5.2,58
2UDrabbitNum,330.0,58
2UDrabbitEn,43.3,58
2UDrabbitRe,66.9,58
2UDrabbitFa,6.4,58
2UDwolfNum,8.0,58
2UDwolfEn,1649.3,58
2UDwolfRe,2252.3,58
2UDwolfFa,5.2,58
grassNum,414.0,59
grassEn,155.2,59
grassRe,128.4,59
grassFa,1.4,59
KDFwolfNum,38.0,59
KDFwolfEn,307.2,59
KDFwolfRe,545.5,59
KDFwolfFa,5.5,59
008rabbitNum,137.0,59
008rabbitEn,37.9,59
008rabbitRe,50.1,59
008rabbitFa,6.1,59
KDFrabbitNum,104.0,59
KDFrabbitEn,178.7,59
KDFrabbitRe,348.5,59
KDFrabbitFa,6.7,59
008wolfNum,22.0,59
008wolfEn,812.7,59
008wolfRe,1045.7,59
008wolfFa,5.2,59
2UDrabbitNum,332.0,59
2UDrabbitEn,43.4,59
2UDrabbitRe,67.0,59
2UDrabbitFa,6.5,59
2UDwolfNum,9.0,59
2UDwolfEn,1589.3,59
2UDwolfRe,2252.9,59
2UDwolfFa,5.2,59
grassNum,430.0,60
grassEn,152.5,60
grassRe,128.3,60
grassFa,1.5,60
KDFwolfNum,39.0,60
KDFwolfEn,321.0,60
KDFwolfRe,545.1,60
KDFwolfFa,5.5,60
008rabbitNum,143.0,60
008rabbitEn,36.6,60
008rabbitRe,50.4,60
008rabbitFa,6.1,60
KDFrabbitNum,93.0,60
KDFrabbitEn,183.7,60
KDFrabbitRe,348.6,60
KDFrabbitFa,6.7,60
008wolfNum,22.0,60
008wolfEn,819.2,60
008wolfRe,1045.7,60
008wolfFa,5.2,60
2UDrabbitNum,324.0,60
2UDrabbitEn,45.9,60
2UDrabbitRe,66.9,60
2UDrabbitFa,6.5,60
2UDwolfNum,9.0,60
2UDwolfEn,1602.1,60
2UDwolfRe,2252.9,60
2UDwolfFa,5.2,60
grassNum,450.0,61
grassEn,151.0,61
grassRe,128.3,61
grassFa,1.5,61
KDFwolfNum,42.0,61
KDFwolfEn,311.0,61
KDFwolfRe,544.9,61
KDFwolfFa,5.5,61
008rabbitNum,152.0,61
008rabbitEn,34.9,61
008rabbitRe,50.6,61
008rabbitFa,6.1,61
KDFrabbitNum,86.0,61
KDFrabbitEn,179.3,61
KDFrabbitRe,348.7,61
KDFrabbitFa,6.7,61
008wolfNum,23.0,61
008wolfEn,814.0,61
008wolfRe,1045.8,61
008wolfFa,5.2,61
2UDrabbitNum,324.0,61
2UDrabbitEn,45.4,61
2UDrabbitRe,67.0,61
2UDrabbitFa,6.5,61
2UDwolfNum,9.0,61
2UDwolfEn,1613.9,61
2UDwolfRe,2252.9,61
2UDwolfFa,5.2,61
grassNum,441.0,62
grassEn,152.4,62
grassRe,127.8,62
grassFa,1.6,62
KDFwolfNum,42.0,62
KDFwolfEn,322.3,62
KDFwolfRe,544.9,62
KDFwolfFa,5.5,62
008rabbitNum,147.0,62
008rabbitEn,36.3,62
008rabbitRe,49.8,62
008rabbitFa,6.0,62
KDFrabbitNum,77.0,62
KDFrabbitEn,197.1,62
KDFrabbitRe,348.7,62
KDFrabbitFa,6.7,62
008wolfNum,24.0,62
008wolfEn,811.7,62
008wolfRe,1045.8,62
008wolfFa,5.2,62
2UDrabbitNum,320.0,62
2UDrabbitEn,46.3,62
2UDrabbitRe,67.1,62
2UDrabbitFa,6.5,62
2UDwolfNum,9.0,62
2UDwolfEn,1627.9,62
2UDwolfRe,2252.9,62
2UDwolfFa,5.2,62
grassNum,451.0,63
grassEn,150.4,63
grassRe,128.1,63
grassFa,1.7,63
KDFwolfNum,43.0,63
KDFwolfEn,315.8,63
KDFwolfRe,545.1,63
KDFwolfFa,5.6,63
008rabbitNum,142.0,63
008rabbitEn,35.3,63
008rabbitRe,50.3,63
008rabbitFa,6.1,63
KDFrabbitNum,74.0,63
KDFrabbitEn,207.1,63
KDFrabbitRe,348.8,63
KDFrabbitFa,6.7,63
008wolfNum,28.0,63
008wolfEn,766.0,63
008wolfRe,1045.8,63
008wolfFa,5.2,63
2UDrabbitNum,315.0,63
2UDrabbitEn,45.2,63
2UDrabbitRe,67.1,63
2UDrabbitFa,6.4,63
2UDwolfNum,9.0,63
2UDwolfEn,1649.0,63
2UDwolfRe,2252.9,63
2UDwolfFa,5.2,63
grassNum,475.0,64
grassEn,149.5,64
grassRe,128.2,64
grassFa,1.7,64
KDFwolfNum,45.0,64
KDFwolfEn,317.6,64
KDFwolfRe,544.5,64
KDFwolfFa,5.6,64
008rabbitNum,145.0,64
008rabbitEn,32.8,64
008rabbitRe,50.6,64
008rabbitFa,6.2,64
KDFrabbitNum,68.0,64
KDFrabbitEn,204.7,64
KDFrabbitRe,348.7,64
KDFrabbitFa,6.6,64
008wolfNum,28.0,64
008wolfEn,769.6,64
008wolfRe,1045.8,64
008wolfFa,5.2,64
2UDrabbitNum,310.0,64
2UDrabbitEn,45.6,64
2UDrabbitRe,67.3,64
2UDrabbitFa,6.5,64
2UDwolfNum,9.0,64
2UDwolfEn,1656.1,64
2UDwolfRe,2252.9,64
2UDwolfFa,5.2,64
grassNum,491.0,65
grassEn,147.4,65
grassRe,128.0,65
grassFa,1.8,65
KDFwolfNum,48.0,65
KDFwolfEn,307.9,65
KDFwolfRe,544.5,65
KDFwolfFa,5.6,65
008rabbitNum,134.0,65
008rabbitEn,34.8,65
008rabbitRe,50.2,65
008rabbitFa,6.2,65
KDFrabbitNum,60.0,65
KDFrabbitEn,217.6,65
KDFrabbitRe,348.8,65
KDFrabbitFa,6.6,65
008wolfNum,29.0,65
008wolfEn,766.1,65
008wolfRe,1045.9,65
008wolfFa,5.2,65
2UDrabbitNum,309.0,65
2UDrabbitEn,45.6,65
2UDrabbitRe,67.4,65
2UDrabbitFa,6.5,65
2UDwolfNum,9.0,65
2UDwolfEn,1678.9,65
2UDwolfRe,2252.9,65
2UDwolfFa,5.2,65
grassNum,534.0,66
grassEn,144.4,66
grassRe,127.5,66
grassFa,1.9,66
KDFwolfNum,49.0,66
KDFwolfEn,305.2,66
KDFwolfRe,544.6,66
KDFwolfFa,5.6,66
008rabbitNum,119.0,66
008rabbitEn,32.3,66
008rabbitRe,50.0,66
008rabbitFa,6.3,66
KDFrabbitNum,58.0,66
KDFrabbitEn,215.7,66
KDFrabbitRe,348.6,66
KDFrabbitFa,6.5,66
008wolfNum,30.0,66
008wolfEn,767.4,66
008wolfRe,1046.1,66
008wolfFa,5.2,66
2UDrabbitNum,304.0,66
2UDrabbitEn,44.1,66
2UDrabbitRe,67.4,66
2UDrabbitFa,6.5,66
2UDwolfNum,9.0,66
2UDwolfEn,1714.3,66
2UDwolfRe,2252.9,66
2UDwolfFa,5.2,66
grassNum,568.0,67
grassEn,142.1,67
grassRe,127.9,67
grassFa,1.9,67
KDFwolfNum,49.0,67
KDFwolfEn,309.9,67
KDFwolfRe,544.6,67
KDFwolfFa,5.6,67
008rabbitNum,126.0,67
008rabbitEn,30.2,67
008rabbitRe,49.8,67
008rabbitFa,6.3,67
KDFrabbitNum,54.0,67
KDFrabbitEn,222.6,67
KDFrabbitRe,349.0,67
KDFrabbitFa,6.5,67
008wolfNum,30.0,67
008wolfEn,772.0,67
008wolfRe,1046.1,67
008wolfFa,5.2,67
2UDrabbitNum,300.0,67
2UDrabbitEn,45.2,67
2UDrabbitRe,67.3,67
2UDrabbitFa,6.5,67
2UDwolfNum,9.0,67
2UDwolfEn,1729.9,67
2UDwolfRe,2252.9,67
2UDwolfFa,5.2,67
grassNum,578.0,68
grassEn,145.2,68
grassRe,127.7,68
grassFa,2.0,68
KDFwolfNum,49.0,68
KDFwolfEn,311.1,68
KDFwolfRe,544.6,68
KDFwolfFa,5.6,68
008rabbitNum,120.0,68
008rabbitEn,32.0,68
008rabbitRe,49.4,68
008rabbitFa,6.2,68
KDFrabbitNum,54.0,68
KDFrabbitEn,213.0,68
KDFrabbitRe,348.8,68
KDFrabbitFa,6.4,68
008wolfNum,30.0,68
008wolfEn,779.7,68
008wolfRe,1046.1,68
008wolfFa,5.2,68
2UDrabbitNum,300.0,68
2UDrabbitEn,45.5,68
2UDrabbitRe,67.3,68
2UDrabbitFa,6.5,68
2UDwolfNum,9.0,68
2UDwolfEn,1746.4,68
2UDwolfRe,2252.9,68
2UDwolfFa,5.2,68
grassNum,606.0,69
grassEn,143.2,69
grassRe,127.8,69
grassFa,2.1,69
KDFwolfNum,50.0,69
KDFwolfEn,305.5,69
KDFwolfRe,544.9,69
KDFwolfFa,5.6,69
008rabbitNum,110.0,69
