years,firstExt,firstExtSTD,deadWorld,deadWorldSTD,id,wolfEn,wolfRe,wolfFa,rabbitEn,rabbitRe,rabbitFa,wolfNum,rabbitNum,grassNum,debrisNum
500, 20.0, 0.0, 20.0, 0.0, 'E2LPPY', 291, 403, 12, 73, 104, 9, 8, 16, 32, 3
500, 205.0, 0.0, 205.0, 0.0, '5L2G5D', 318, 406, 22, 60, 103, 5, 3, 24, 12, 26
500, 25.0, 0.0, 25.0, 0.0, '4JY16G', 304, 391, 14, 75, 94, 13, 2, 18, 12, 1
500, 18.0, 0.0, 18.0, 0.0, 'E8WYL4', 305, 388, 22, 82, 100, 15, 1, 17, 21, 22
500, 21.0, 0.0, 21.0, 0.0, 'QUTK0A', 312, 390, 15, 65, 108, 9, 1, 19, 31, 5
500, 36.0, 0.0, 36.0, 0.0, 'PWY0DU', 301, 376, 18, 84, 92.4, 9, 1, 9, 29, 6
500, 48.0, 0.0, 48.0, 0.0, 'OL8QCR', 313, 367, 21, 65, 93, 10, 1, 10, 27, 21
500, 15.0, 0.0, 15.0, 0.0, '4QY0MI', 302, 391, 25, 59, 99, 9, 1, 17, 27, 1
500, 15.0, 0.0, 15.0, 0.0, 'TKC8FG', 312, 410, 20, 80, 88.0, 13, 1, 12, 31, 12
500, 91.0, 0.0, 91.0, 0.0, 'SR67U4', 286, 397, 5, 73, 89, 7, 2, 24, 19, 5
500, 25.0, 0.0, 25.0, 0.0, 'ZAE45Q', 288, 358, 23, 60, 98, 11, 4, 14, 27, 17
500, 228.0, 0.0, 228.0, 0.0, '8XUB4C', 289, 408, 15, 72, 91, 5, 1, 21, 20, 19
500, 23.0, 0.0, 23.0, 0.0, '42JL4I', 308, 408, 18, 63, 101, 12, 1, 16, 26, 2
500, 11.0, 0.0, 11.0, 0.0, 'XKW118', 298, 401, 21, 64, 106, 18, 6, 13, 7, 3
500, 10.0, 0.0, 10.0, 0.0, 'JCIVNZ', 294, 398, 31, 72, 107, 14, 1, 5, 36, 4
500, 18.0, 0.0, 18.0, 0.0, 'DEI2HT', 299, 394, 19, 71, 114, 13, 1, 16, 19, 5
500, 14.0, 0.0, 14.0, 0.0, '46MWRQ', 283, 399, 18, 79, 97, 23, 6, 15, 13, 31
500, 35.0, 0.0, 35.0, 0.0, 'RVKFP9', 296, 421, 28, 81, 112, 10, 2, 12, 50, 7
500, 79.0, 0.0, 79.0, 0.0, '84N12J', 299, 381, 19, 70, 94, 5, 10, 14, 26, 1
500, 28.0, 0.0, 28.0, 0.0, 'A7KR09', 302, 403, 20, 77, 113, 8, 6, 20, 13, 8
500, 26.0, 0.0, 26.0, 0.0, 'DV1GH3', 305, 410, 25, 66, 91, 12, 2, 11, 19, 20
500, 16.0, 0.0, 16.0, 0.0, 'JHVAJE', 287, 414, 28, 69, 102, 9, 3, 20, 15, 17
500, 25.0, 0.0, 25.0, 0.0, '7D7YOR', 297, 384, 18, 52, 90, 9, 1, 9, 47, 17
500, 116.0, 0.0, 116.0, 0.0, 'JMQG3J', 288, 412, 17, 66, 94, 8, 4, 14, 15, 14
500, 28.0, 0.0, 28.0, 0.0, 'NRB3CE', 292, 410, 17, 53, 103, 19, 3, 17, 23, 17
500, 191.0, 0.0, 191.0, 0.0, 'DX0EPT', 300, 408, 19, 41, 92, 5, 8, 24, 33, 17
500, 457.0, 0.0, 457.0, 0.0, 'RWG1TT', 320, 399, 11, 39, 92, 5, 1, 25, 50, 41
500, 115.0, 0.0, 115.0, 0.0, '6H5MPG', 337, 400, 5, 34, 80, 5, 1, 28, 55, 44
500, 500.0, 0.0, 500.0, 0.0, 'T45FJY', 325, 396, 13, 38, 72, 5, 1, 27, 62, 37
500, 97.0, 0.0, 97.0, 0.0, 'RHSOJD', 322, 363, 10, 40, 58, 5, 1, 26, 59, 35
500, 270.0, 0.0, 270.0, 0.0, 'VYLLDC', 321, 353, 9, 25, 38, 5, 1, 25, 65, 40
500, 165.0, 0.0, 165.0, 0.0, 'NF5I72', 327, 359, 16, 28, 30, 5, 2, 35, 62, 45
500, 362.0, 0.0, 362.0, 0.0, 'L04ZU4', 326, 358, 14, 37, 40, 5, 1, 42, 80, 44
500, 51.0, 0.0, 51.0, 0.0, 'OTIP0M', 318, 352, 13, 35, 41, 5, 1, 40, 92, 45
500, 500.0, 0.0, 500.0, 0.0, '36DFNT', 324, 356, 11, 60, 66, 5, 1, 38, 95, 45
500, 500.0, 0.0, 500.0, 0.0, 'VUG1LJ', 324, 371, 18, 64, 70, 5, 1, 37, 98, 44
500, 33.0, 0.0, 33.0, 0.0, 'C3HD8R', 326, 374, 16, 69, 75, 5, 1, 37, 101, 51
500, 29.0, 0.0, 29.0, 0.0, 'CXE8S8', 324, 381, 23, 58, 63, 5, 1, 30, 114, 46
500, 115.0, 0.0, 115.0, 0.0, '4DHB3R', 325, 388, 19, 59, 64, 5, 2, 38, 96, 22
500, 500.0, 0.0, 500.0, 0.0, '8TBUG8', 322, 391, 13, 63, 69, 5, 1, 46, 80, 43
500, 192.0, 0.0, 192.0, 0.0, '26DOSS', 331, 391, 14, 61, 67, 7, 1, 50, 69, 43
500, 30.0, 0.0, 30.0, 0.0, '4LHOT8', 324, 399, 17, 64, 70, 13, 1, 56, 62, 42
500, 500.0, 0.0, 500.0, 0.0, 'RRFDGJ', 311, 398, 8, 55, 82, 5, 1, 58, 78, 42
500, 500.0, 0.0, 500.0, 0.0, 'Y8G0HP', 300, 395, 5, 50, 70, 5, 1, 61, 78, 43
500, 500.0, 0.0, 500.0, 0.0, 'QNAHYP', 294, 384, 5, 53, 69, 5, 1, 68, 77, 42
500, 500.0, 0.0, 500.0, 0.0, 'SP0O1Z', 287, 377, 9, 57, 72, 5, 1, 71, 90, 42
500, 500.0, 0.0, 500.0, 0.0, 'JCZ0G0', 276, 397, 5, 53, 69, 5, 1, 70, 94, 40
500, 500.0, 0.0, 500.0, 0.0, '9JJLX7', 284, 398, 5, 62, 73, 5, 1, 76, 86, 43
500, 500.0, 0.0, 500.0, 0.0, '5KO2QY', 290, 378, 12, 54, 73, 5, 1, 66, 94, 41
500, 190.0, 0.0, 190.0, 0.0, 'XYGWGE', 278, 385, 6, 63, 69, 5, 4, 66, 92, 40
500, 500.0, 0.0, 500.0, 0.0, 'X1VSCK', 294, 388, 8, 62, 68, 5, 1, 71, 87, 42
500, 386.0, 0.0, 386.0, 0.0, 'UHXNO4', 288, 394, 8, 59, 69, 5, 1, 70, 83, 39
500, 500.0, 0.0, 500.0, 0.0, 'URP103', 305, 385, 8, 60, 66, 5, 1, 69, 86, 42
500, 500.0, 0.0, 500.0, 0.0, 'X44GNV', 321, 374, 8, 53, 65, 5, 1, 69, 89, 41
500, 500.0, 0.0, 500.0, 0.0, '91PQJT', 314, 376, 11, 54, 66, 5, 1, 64, 90, 44
500, 500.0, 0.0, 500.0, 0.0, 'CBGYVN', 315, 370, 10, 63, 69, 5, 1, 64, 99, 44
500, 500.0, 0.0, 500.0, 0.0, 'TPS017', 325, 357, 11, 54, 74, 5, 1, 61, 84, 43
500, 500.0, 0.0, 500.0, 0.0, 'O2KPXG', 322, 354, 6, 65, 71, 5, 1, 66, 85, 43
500, 500.0, 0.0, 500.0, 0.0, 'J87QY7', 317, 376, 12, 64, 70, 5, 1, 69, 88, 41
500, 500.0, 0.0, 500.0, 0.0, '9P8NXZ', 306, 394, 8, 51, 73, 5, 1, 69, 83, 44
500, 219.0, 0.0, 219.0, 0.0, 'TT2C7G', 302, 394, 10, 54, 86, 5, 1, 63, 90, 42
500, 204.0, 0.0, 204.0, 0.0, 'GRA41W', 285, 381, 6, 57, 73, 5, 1, 68, 75, 43
500, 141.0, 0.0, 141.0, 0.0, 'UE44KV', 301, 358, 7, 65, 73, 5, 1, 65, 88, 41
500, 242.0, 0.0, 242.0, 0.0, '73WDYB', 296, 364, 9, 54, 71, 5, 1, 65, 89, 53
500, 227.0, 0.0, 227.0, 0.0, 'FQQW9V', 282, 391, 5, 57, 70, 5, 1, 76, 78, 42
500, 500.0, 0.0, 500.0, 0.0, '4GCADO', 284, 401, 5, 52, 65, 6, 1, 77, 80, 43
