name,alcohol,sugar,acid,oz,style,glass,melt,ingredients,all_text,x,y,features
Improved Whiskey Cocktail,0.28615384615384604,0.0742307692307692,0.0,3.25,stirred,old-fashioned,0.3,rye whiskey|simple syrup|Luxardo Maraschino|Angostura bitters|absinthe|lemon twist,Improved|Whiskey|Cocktail|stirred|old-fashioned|rye|whiskey|simple|syrup|Luxardo|Maraschino|Angostura|bitters|absinthe|lemon|twist,-0.6007082358537721,0.5046361647492514,Improved|Whiskey|Cocktail|stirred|old-fashioned|rye|whiskey|simple|syrup|Luxardo|Maraschino|Angostura|bitters|absinthe|lemon|twist
De La Louisiane,0.29038461538461496,0.0519230769230769,0.000769230769230769,3.9,stirred,coupe,0.3,rye whiskey|Benedictine|sweet vermouth|Peychaud's bitters|Angostura bitters|absinthe|cherry,De|La|Louisiane|stirred|coupe|rye|whiskey|Benedictine|sweet|vermouth|Peychaud's|bitters|Angostura|bitters|absinthe|cherry,-0.19753358893963385,0.784443799439127,De|La|Louisiane|stirred|coupe|rye|whiskey|Benedictine|sweet|vermouth|Peychaud's|bitters|Angostura|bitters|absinthe|cherry
Sazerac,0.290598290598291,0.0525641025641026,0.0,2.925,stirred,old-fashioned,0.3,rye whiskey|simple syrup|Peychaud's bitters|absinthe|lemon peel,Sazerac|stirred|old-fashioned|rye|whiskey|simple|syrup|Peychaud's|bitters|absinthe|lemon|peel,-0.7074631022837322,0.32024138986640605,Sazerac|stirred|old-fashioned|rye|whiskey|simple|syrup|Peychaud's|bitters|absinthe|lemon|peel
Toronto,0.29153846153846197,0.0534615384615385,0.0,3.25,stirred,coupe,0.3,rye whiskey|Fernet Branca|simple syrup|Angostura bitters|orange twist,Toronto|stirred|coupe|rye|whiskey|Fernet|Branca|simple|syrup|Angostura|bitters|orange|twist,-0.3332261165051843,0.6001254185401801,Toronto|stirred|coupe|rye|whiskey|Fernet|Branca|simple|syrup|Angostura|bitters|orange|twist
Agave Old Fashioned,0.307692260355037,0.0320513412228706,0.0,2.6000004,built,old-fashioned,0.2,tequila reposado|agave nectar|Angostura bitters,Agave|Old|Fashioned|built|old-fashioned|tequila|reposado|agave|nectar|Angostura|bitters,-0.7179013086495472,0.24387884800313495,Agave|Old|Fashioned|built|old-fashioned|tequila|reposado|agave|nectar|Angostura|bitters
Applejack Old Fashioned,0.307692260355037,0.109935992702155,0.0,2.6000004,built,old-fashioned,0.2,applejack|maple syrup|Angostura bitters,Applejack|Old|Fashioned|built|old-fashioned|applejack|maple|syrup|Angostura|bitters,-0.7622915340688444,0.18312580578653948,Applejack|Old|Fashioned|built|old-fashioned|applejack|maple|syrup|Angostura|bitters
Rum Old Fashioned,0.307692260355037,0.0394231497041308,0.0,2.6000004,built,old-fashioned,0.2,aged rum|simple syrup|Angostura bitters,Rum|Old|Fashioned|built|old-fashioned|aged|rum|simple|syrup|Angostura|bitters,-0.8041135891242535,0.0742647158826828,Rum|Old|Fashioned|built|old-fashioned|aged|rum|simple|syrup|Angostura|bitters
Scotch Old Fashioned,0.307692260355037,0.0576924142011671,0.0,2.6000004,built,old-fashioned,0.2,blended scotch whiskey|honey|Angostura bitters,Scotch|Old|Fashioned|built|old-fashioned|blended|scotch|whiskey|honey|Angostura|bitters,-0.6870175216722602,0.41610381005098424,Scotch|Old|Fashioned|built|old-fashioned|blended|scotch|whiskey|honey|Angostura|bitters
Pink Gin,0.307692307692308,0.0,0.0,2.6,stirred,coupe,0.3,gin|Angostura bitters,Pink|Gin|stirred|coupe|gin|Angostura|bitters,0.22672952364790866,0.5295968283028186,Pink|Gin|stirred|coupe|gin|Angostura|bitters
Rusty Nail,0.307692307692308,0.0461538461538461,0.0,3.25,stirred,old-fashioned,0.3,blended scotch whiskey|Drambuie|lemon peel,Rusty|Nail|stirred|old-fashioned|blended|scotch|whiskey|Drambuie|lemon|peel,-0.6001576522172744,0.3923349559907085,Rusty|Nail|stirred|old-fashioned|blended|scotch|whiskey|Drambuie|lemon|peel
Widow's Kiss,0.307692307692308,0.0428461538461538,0.0,3.25,stirred,coupe,0.3,apple brandy|Benedictine|Yellow Chartreuse|Angostura bitters,Widow's|Kiss|stirred|coupe|apple|brandy|Benedictine|Yellow|Chartreuse|Angostura|bitters,-0.05585699425829648,0.47029008841140196,Widow's|Kiss|stirred|coupe|apple|brandy|Benedictine|Yellow|Chartreuse|Angostura|bitters
Alaska Cocktail,0.307692307692308,0.08,0.0,2.925,stirred,coupe,0.3,gin|Yellow Chartreuse|orange bitters|lemon twist,Alaska|Cocktail|stirred|coupe|gin|Yellow|Chartreuse|orange|bitters|lemon|twist,0.47943846128479317,0.5339125289412839,Alaska|Cocktail|stirred|coupe|gin|Yellow|Chartreuse|orange|bitters|lemon|twist
Old Fashioned,0.326923026627227,0.0394231497041308,0.0,2.6000004,built,old-fashioned,0.2,rye whiskey|simple syrup|Angostura bitters|orange peel,Old|Fashioned|built|old-fashioned|rye|whiskey|simple|syrup|Angostura|bitters|orange|peel,-0.7636009796502436,0.29681225028790376,Old|Fashioned|built|old-fashioned|rye|whiskey|simple|syrup|Angostura|bitters|orange|peel
