name,alcohol,sugar,acid,oz,style,glass,melt,ingredients,all_text,features,x,y
Angostura Fizz,0.012531328320802,0.075125313283208,0.0151607411604239,3.99,fizz,coupe,0.33,Angostura bitters|lime juice|simple syrup|grenadine|heavy cream|egg white|soda water,Angostura|Fizz|fizz|coupe|Angostura|bitters|lime|juice|simple|syrup|grenadine|heavy|cream|egg|white|soda|water,Angostura|bitters|lime|juice|simple|syrup|grenadine|heavy|cream|egg|white|soda|water,0.7611865987025352,-0.07020661626879073
Blonde Redhead,0.0355603448275862,0.0892241379310345,0.00420258620689655,9.28,,,0.28,aperol|grapefruit juice|lemon juice|club soda,Blonde|Redhead|nan|nan|aperol|grapefruit|juice|lemon|juice|club|soda,aperol|grapefruit|juice|lemon|juice|club|soda,0.04079546329822766,-0.3594594997162868
Trident,0.09102564102564098,0.0333333333333333,0.0,3.9,stirred,coupe,0.3,dry sherry|Cynar|aquavit|Fee Brothers peach bitters,Trident|stirred|coupe|dry|sherry|Cynar|aquavit|Fee|Brothers|peach|bitters,dry|sherry|Cynar|aquavit|Fee|Brothers|peach|bitters,-0.10042740407036467,0.2599571862089607
Mojito,0.0987654320987654,0.0779012345679012,0.007407407407407409,6.075,shaken,highball,0.35,white rum|mint leaves|simple syrup|lime juice|club soda|mint sprig,Mojito|shaken|highball|white|rum|mint|leaves|simple|syrup|lime|juice|club|soda|mint|sprig,white|rum|mint|leaves|simple|syrup|lime|juice|club|soda|mint|sprig,0.20132703199224083,-0.7911063666481843
Cricket Ball,0.0991735537190083,0.0275482093663912,0.0,4.5375,bubbly,flute,0.1,sugar|Peychaud's bitters|Fee Brothers rhubarb bitters|Lillet Rouge|champagne|lemon twist,Cricket|Ball|bubbly|flute|sugar|Peychaud's|bitters|Fee|Brothers|rhubarb|bitters|Lillet|Rouge|champagne|lemon|twist,sugar|Peychaud's|bitters|Fee|Brothers|rhubarb|bitters|Lillet|Rouge|champagne|lemon|twist,-0.13190465836697396,0.473932589326261
Landing Gear Fizz,0.101424501424501,0.155441595441595,0.0127635327635328,4.3875,shaken,Collins,0.35,Punt e Mes vermouth|falernum|lime juice|sherry|lime wheel|mint sprig,Landing|Gear|Fizz|shaken|Collins|Punt|e|Mes|vermouth|falernum|lime|juice|sherry|lime|wheel|mint|sprig,Punt|e|Mes|vermouth|falernum|lime|juice|sherry|lime|wheel|mint|sprig,-0.40185141503492144,-0.7005221167465365
Paloma,0.102564102564103,0.0740064102564103,0.00884615384615385,7.8,stirred,,0.3,tequila blanco|grapefruit juice|lime juice|simple syrup|club soda,Paloma|stirred|nan|tequila|blanco|grapefruit|juice|lime|juice|simple|syrup|club|soda,tequila|blanco|grapefruit|juice|lime|juice|simple|syrup|club|soda,0.3630030448462296,-0.6730297356834326
Scotch Toddy,0.10416666666666699,0.0596354166666667,0.00390625,7.68,hot,mug,0.28,blended scotch whiskey|honey|lemon juice|boiling water,Scotch|Toddy|hot|mug|blended|scotch|whiskey|honey|lemon|juice|boiling|water,blended|scotch|whiskey|honey|lemon|juice|boiling|water,0.11773869740246037,0.007205226692072272
Southside Cocktail,0.10774410774410802,0.0637373737373737,0.00606060606060606,7.425,shaken,coupe,0.35,gin|mint leaves|lemon juice|simple syrup|club soda,Southside|Cocktail|shaken|coupe|gin|mint|leaves|lemon|juice|simple|syrup|club|soda,gin|mint|leaves|lemon|juice|simple|syrup|club|soda,0.45174334376168657,-0.5547723838079166
Tom Collins,0.10774410774410802,0.0637373737373737,0.00606060606060606,7.425,shaken,,0.35,gin|lemon juice|simple syrup|club soda,Tom|Collins|shaken|nan|gin|lemon|juice|simple|syrup|club|soda,gin|lemon|juice|simple|syrup|club|soda,0.5102187669094812,-0.5307416998815425
Southland Sipper,0.10974702380952402,0.0795386904761905,0.00669642857142857,6.72,,,0.28,strawberry|simple syrup|rye whiskey|Benedictine|lemon juice|Angostura bitters|club soda,Southland|Sipper|nan|nan|strawberry|simple|syrup|rye|whiskey|Benedictine|lemon|juice|Angostura|bitters|club|soda,strawberry|simple|syrup|rye|whiskey|Benedictine|lemon|juice|Angostura|bitters|club|soda,0.7160512246571563,0.15810574775591735
Ramos Gin Fizz,0.11278195488721801,0.0805451127819549,0.012593984962406,5.32,fizz,collins,0.33,Old Tom gin|egg white|heavy cream|orange flower water|simple syrup|lemon juice|lime juice|soda water|orange wheel,Ramos|Gin|Fizz|fizz|collins|Old|Tom|gin|egg|white|heavy|cream|orange|flower|water|simple|syrup|lemon|juice|lime|juice|soda|water|orange|wheel,Old|Tom|gin|egg|white|heavy|cream|orange|flower|water|simple|syrup|lemon|juice|lime|juice|soda|water|orange|wheel,-0.11032344947838199,-0.546104673253859
Bitter Guiseppe,0.11715976331360901,0.0861538461538462,0.0049704142011834295,4.225,stirred,coupe,0.3,Cynar|sweet vermouth|lemon juice|orange bitter,Bitter|Guiseppe|stirred|coupe|Cynar|sweet|vermouth|lemon|juice|orange|bitter,Cynar|sweet|vermouth|lemon|juice|orange|bitter,-0.7202140466710802,0.0329682418362343
Planter's Punch,0.118518518518519,0.0647407407407407,0.0114567901234568,5.0625,shaken,old-fashioned,0.35,dark rum|pineapple juice|lime juice|orange juice|simple syrup|pineapple wedge|orange wheel|mint sprig,Planter's|Punch|shaken|old-fashioned|dark|rum|pineapple|juice|lime|juice|orange|juice|simple|syrup|pineapple|wedge|orange|wheel|mint|sprig,dark|rum|pineapple|juice|lime|juice|orange|juice|simple|syrup|pineapple|wedge|orange|wheel|mint|sprig,-0.4970041581510189,-0.6604847790065038
Apple Toddy,0.120967734131114,0.0432208074434157,0.0,6.61333376,hot,mug,0.28,applejack|maple syrup|Angostura bitters|cinnamon tea,Apple|Toddy|hot|mug|applejack|maple|syrup|Angostura|bitters|cinnamon|tea,applejack|maple|syrup|Angostura|bitters|cinnamon|tea,0.45799627968748935,0.3918338496500899
Bourbon Toddy,0.120967734131114,0.0154990219335308,0.0,6.61333376,hot,mug,0.28,bourbon whiskey|simple syrup|Angostura bitters|boiling water,Bourbon|Toddy|hot|mug|bourbon|whiskey|simple|syrup|Angostura|bitters|boiling|water,bourbon|whiskey|simple|syrup|Angostura|bitters|boiling|water,0.6881418300818845,0.358776408762943
Rum Toddy,0.120967734131114,0.0154990219335308,0.0,6.61333376,hot,mug,0.28,aged rum|simple syrup|Angostura bitters|boiling water,Rum|Toddy|hot|mug|aged|rum|simple|syrup|Angostura|bitters|boiling|water,aged|rum|simple|syrup|Angostura|bitters|boiling|water,0.7573080779712522,0.227901985985835
Moscow Mule,0.12121212121212101,0.0717045454545455,0.0068181818181818205,6.6,built,,0.2,vodka|ginger syrup|lime juice|club soda,Moscow|Mule|built|nan|vodka|ginger|syrup|lime|juice|club|soda,vodka|ginger|syrup|lime|juice|club|soda,0.06414473089824618,-0.7194226923753136
Jungle Bird,0.12163742690058502,0.10159844054580901,0.0102923976608187,6.4125,shaken,old-fashioned,0.35,blackstrap rum|pineapple juice|Campari|lime juice|simple syrup|pineapple wedge,Jungle|Bird|shaken|old-fashioned|blackstrap|rum|pineapple|juice|Campari|lime|juice|simple|syrup|pineapple|wedge,blackstrap|rum|pineapple|juice|Campari|lime|juice|simple|syrup|pineapple|wedge,0.10410893424089723,-0.7031346118899418
Esplanade Swizzle,0.125714285714286,0.11228571428571402,0.00904761904761905,5.25,swizzle,Collins,0.4,mezcal|sherry|lime juice|falernum|ginger syrup|mint sprig,Esplanade|Swizzle|swizzle|Collins|mezcal|sherry|lime|juice|falernum|ginger|syrup|mint|sprig,mezcal|sherry|lime|juice|falernum|ginger|syrup|mint|sprig,-0.1460623927663808,-0.7446029466447767
Southside Fizz,0.126482213438735,0.0991304347826087,0.00711462450592885,6.325,bubbly,,0.1,mint leaves|cucumber wheel|simple syrup|gin|lime juice|club soda,Southside|Fizz|bubbly|nan|mint|leaves|cucumber|wheel|simple|syrup|gin|lime|juice|club|soda,mint|leaves|cucumber|wheel|simple|syrup|gin|lime|juice|club|soda,0.2192016358310089,-0.7413980207724462
Hot Toddy,0.128528217514309,0.0154990219335308,0.0,6.61333376,hot,mug,0.28,rye whiskey|simple syrup|Angostura bitters|boiling water,Hot|Toddy|hot|mug|rye|whiskey|simple|syrup|Angostura|bitters|boiling|water,rye|whiskey|simple|syrup|Angostura|bitters|boiling|water,0.684942127560255,0.39526929361747226
Blood and Sand,0.129320987654321,0.0449382716049383,0.00209876543209877,4.05,shaken,coupe,0.35,blended scotch whiskey|sweet vermouth|Cheery Heering|orange juice|orange twist,Blood|and|Sand|shaken|coupe|blended|scotch|whiskey|sweet|vermouth|Cheery|Heering|orange|juice|orange|twist,blended|scotch|whiskey|sweet|vermouth|Cheery|Heering|orange|juice|orange|twist,-0.7914345986906824,0.21396079369176565
The Bamboo,0.130859375,0.01953125,0.00234375,3.84,,,0.28,sherry|dry vermouth|orange bitters|Angostura bitters,The|Bamboo|nan|nan|sherry|dry|vermouth|orange|bitters|Angostura|bitters,sherry|dry|vermouth|orange|bitters|Angostura|bitters,-0.271291501395048,0.7822603467400152
Champagne Cocktail,0.133037694013304,0.0221729490022173,0.0,5.6375,bubbly,flute,0.1,champagne|sugar|Angostura bitters|lemon twist,Champagne|Cocktail|bubbly|flute|champagne|sugar|Angostura|bitters|lemon|twist,champagne|sugar|Angostura|bitters|lemon|twist,-0.019005286397590828,0.5146688033954117
Pisco Sour,0.133667502088555,0.0790726817042606,0.0075187969924812,5.985,fizz,coupe,0.33,pisco|egg white|simple syrup|lime juice|Angostura bitters,Pisco|Sour|fizz|coupe|pisco|egg|white|simple|syrup|lime|juice|Angostura|bitters,pisco|egg|white|simple|syrup|lime|juice|Angostura|bitters,0.7756020188619173,-0.03774108166087684
Old Hickory,0.141666666666667,0.0791666666666667,0.005,3.6,built,old-fashioned,0.2,sweet vermouth|dry vermouth|Peychaud's bitters|orange bitters|lemon twist,Old|Hickory|built|old-fashioned|sweet|vermouth|dry|vermouth|Peychaud's|bitters|orange|bitters|lemon|twist,sweet|vermouth|dry|vermouth|Peychaud's|bitters|orange|bitters|lemon|twist,-0.5094929463202978,0.6349915438916477
Margarita,0.14251739936348098,0.109299478893435,0.0146889098730458,7.14825,shaken,coupe,0.35,tequila|triple sec|lime juice|lemon juice|simple syrup|salt,Margarita|shaken|coupe|tequila|triple|sec|lime|juice|lemon|juice|simple|syrup|salt,tequila|triple|sec|lime|juice|lemon|juice|simple|syrup|salt,0.4438294381294167,-0.6194659930927422
Goslings Swizzle,0.14285714285714302,0.0758730158730159,0.00547619047619048,6.3,swizzle,Collins,0.4,aged rum|dark rum|orange juice|pineapple juice|falernum|Angostura bitters|mint sprig|orange peel,Goslings|Swizzle|swizzle|Collins|aged|rum|dark|rum|orange|juice|pineapple|juice|falernum|Angostura|bitters|mint|sprig|orange|peel,aged|rum|dark|rum|orange|juice|pineapple|juice|falernum|Angostura|bitters|mint|sprig|orange|peel,-0.7028443764194683,-0.20091964940054857
Whiskey Sour,0.146079484425349,0.0809881847475833,0.00644468313641246,5.81875,fizz,coupe,0.33,rye whiskey|egg white|simple syrup|lemon juice|salt,Whiskey|Sour|fizz|coupe|rye|whiskey|egg|white|simple|syrup|lemon|juice|salt,rye|whiskey|egg|white|simple|syrup|lemon|juice|salt,0.7078755506288376,-0.2134041628824345
Scofflaw Cocktail,0.150462962962963,0.0716666666666667,0.009861111111111109,5.4,shaken,coupe,0.35,rye whiskey|dry vermouth|lemon juice|grenadine|orange bitter|orange twist,Scofflaw|Cocktail|shaken|coupe|rye|whiskey|dry|vermouth|lemon|juice|grenadine|orange|bitter|orange|twist,rye|whiskey|dry|vermouth|lemon|juice|grenadine|orange|bitter|orange|twist,-0.7159883735649474,0.19544035120026484
Brandy 75,0.156565656565657,0.0637373737373737,0.00606060606060606,4.95,bubbly,,0.1,cognac|lemon juice|simple syrup|champagne,Brandy|75|bubbly|nan|cognac|lemon|juice|simple|syrup|champagne,cognac|lemon|juice|simple|syrup|champagne,0.6364976798813999,-0.3757765332221106
French 75,0.156565656565657,0.0637373737373737,0.00606060606060606,4.95,bubbly,,0.1,gin|lemon juice|simple syrup|champagne,French|75|bubbly|nan|gin|lemon|juice|simple|syrup|champagne,gin|lemon|juice|simple|syrup|champagne,0.5716627435077138,-0.44959685615134437
Pisco 75,0.156565656565657,0.0637373737373737,0.00606060606060606,4.95,bubbly,,0.1,strawberry|simple syrup|pisco|lemon juice|champagne,Pisco|75|bubbly|nan|strawberry|simple|syrup|pisco|lemon|juice|champagne,strawberry|simple|syrup|pisco|lemon|juice|champagne,0.6577784515743004,-0.3689903303934471
Rum 75,0.156565656565657,0.0637373737373737,0.00606060606060606,4.95,bubbly,,0.1,aged rum|lemon juice|simple syrup|champagne,Rum|75|bubbly|nan|aged|rum|lemon|juice|simple|syrup|champagne,aged|rum|lemon|juice|simple|syrup|champagne,0.6297947062599414,-0.46645610335143756
Tequila 75,0.156565656565657,0.0521212121212121,0.00606060606060606,4.95,bubbly,,0.1,tequila blanco|lemon juice|agave nectar|champagne,Tequila|75|bubbly|nan|tequila|blanco|lemon|juice|agave|nectar|champagne,tequila|blanco|lemon|juice|agave|nectar|champagne,0.06370943600928296,-0.21958739413861014
Cuba Kola,0.15674074074074099,0.0731555555555556,0.0151607411604239,8.4375,shaken,old-fashioned,0.35,lime juice|overproof rum|orange juice|dark rum|honey syrup|Angostura bitters|absinthe|pineapple wedge|cherry,Cuba|Kola|shaken|old-fashioned|lime|juice|overproof|rum|orange|juice|dark|rum|honey|syrup|Angostura|bitters|absinthe|pineapple|wedge|cherry,lime|juice|overproof|rum|orange|juice|dark|rum|honey|syrup|Angostura|bitters|absinthe|pineapple|wedge|cherry,-0.3639961000328365,-0.41864704131463276
Gargoyle and Spire,0.15909090909090898,0.0349431818181818,0.0,4.4,bubbly,highball,0.1,gin|Strega|simple syrup|orange bitters|champagne|orange twist,Gargoyle|and|Spire|bubbly|highball|gin|Strega|simple|syrup|orange|bitters|champagne|orange|twist,gin|Strega|simple|syrup|orange|bitters|champagne|orange|twist,-0.5986241125133432,0.07870328457365755
Bitter French,0.159808612440191,0.07186602870813401,0.0057416267942583706,5.225,bubbly,,0.1,gin|Campari|lemon juice|simple syrup|champagne,Bitter|French|bubbly|nan|gin|Campari|lemon|juice|simple|syrup|champagne,gin|Campari|lemon|juice|simple|syrup|champagne,0.5415540071213787,-0.43813723728528653
