name,alcohol,sugar,acid,oz,style,glass,melt,ingredients,all_text,features,x,y
Angostura Fizz,0.012531328320802,0.075125313283208,0.0151607411604239,3.99,fizz,coupe,0.33,Angostura bitters|lime juice|simple syrup|grenadine|heavy cream|egg white|soda water,Angostura|Fizz|fizz|coupe|Angostura|bitters|lime|juice|simple|syrup|grenadine|heavy|cream|egg|white|soda|water,Angostura|Fizz|fizz|coupe,0.5105379540155893,0.18101628142990908
Blonde Redhead,0.0355603448275862,0.0892241379310345,0.00420258620689655,9.28,,,0.28,aperol|grapefruit juice|lemon juice|club soda,Blonde|Redhead|nan|nan|aperol|grapefruit|juice|lemon|juice|club|soda,Blonde|Redhead|nan|nan,0.20257432894860777,-1.6701216950137479
Trident,0.09102564102564098,0.0333333333333333,0.0,3.9,stirred,coupe,0.3,dry sherry|Cynar|aquavit|Fee Brothers peach bitters,Trident|stirred|coupe|dry|sherry|Cynar|aquavit|Fee|Brothers|peach|bitters,Trident|stirred|coupe,0.5034470033345732,0.5073286631366773
Mojito,0.0987654320987654,0.0779012345679012,0.007407407407407409,6.075,shaken,highball,0.35,white rum|mint leaves|simple syrup|lime juice|club soda|mint sprig,Mojito|shaken|highball|white|rum|mint|leaves|simple|syrup|lime|juice|club|soda|mint|sprig,Mojito|shaken|highball,0.18571030168910355,-0.03154505181955036
Cricket Ball,0.0991735537190083,0.0275482093663912,0.0,4.5375,bubbly,flute,0.1,sugar|Peychaud's bitters|Fee Brothers rhubarb bitters|Lillet Rouge|champagne|lemon twist,Cricket|Ball|bubbly|flute|sugar|Peychaud's|bitters|Fee|Brothers|rhubarb|bitters|Lillet|Rouge|champagne|lemon|twist,Cricket|Ball|bubbly|flute,0.12132151014472092,-0.5555791692578597
Landing Gear Fizz,0.101424501424501,0.155441595441595,0.0127635327635328,4.3875,shaken,Collins,0.35,Punt e Mes vermouth|falernum|lime juice|sherry|lime wheel|mint sprig,Landing|Gear|Fizz|shaken|Collins|Punt|e|Mes|vermouth|falernum|lime|juice|sherry|lime|wheel|mint|sprig,Landing|Gear|Fizz|shaken|Collins,0.24391989308450415,-0.12320569270033266
Paloma,0.102564102564103,0.0740064102564103,0.00884615384615385,7.8,stirred,,0.3,tequila blanco|grapefruit juice|lime juice|simple syrup|club soda,Paloma|stirred|nan|tequila|blanco|grapefruit|juice|lime|juice|simple|syrup|club|soda,Paloma|stirred|nan,0.2123013058245141,-0.6865546803873094
Scotch Toddy,0.10416666666666699,0.0596354166666667,0.00390625,7.68,hot,mug,0.28,blended scotch whiskey|honey|lemon juice|boiling water,Scotch|Toddy|hot|mug|blended|scotch|whiskey|honey|lemon|juice|boiling|water,Scotch|Toddy|hot|mug,0.06412197269965735,-0.4141665964181659
Southside Cocktail,0.10774410774410802,0.0637373737373737,0.00606060606060606,7.425,shaken,coupe,0.35,gin|mint leaves|lemon juice|simple syrup|club soda,Southside|Cocktail|shaken|coupe|gin|mint|leaves|lemon|juice|simple|syrup|club|soda,Southside|Cocktail|shaken|coupe,0.5856582969537979,0.5533824143771933
Tom Collins,0.10774410774410802,0.0637373737373737,0.00606060606060606,7.425,shaken,,0.35,gin|lemon juice|simple syrup|club soda,Tom|Collins|shaken|nan|gin|lemon|juice|simple|syrup|club|soda,Tom|Collins|shaken|nan,0.2602653486465877,-0.7717183425220091
Southland Sipper,0.10974702380952402,0.0795386904761905,0.00669642857142857,6.72,,,0.28,strawberry|simple syrup|rye whiskey|Benedictine|lemon juice|Angostura bitters|club soda,Southland|Sipper|nan|nan|strawberry|simple|syrup|rye|whiskey|Benedictine|lemon|juice|Angostura|bitters|club|soda,Southland|Sipper|nan|nan,0.20257432894860788,-1.6701216950137476
Ramos Gin Fizz,0.11278195488721801,0.0805451127819549,0.012593984962406,5.32,fizz,collins,0.33,Old Tom gin|egg white|heavy cream|orange flower water|simple syrup|lemon juice|lime juice|soda water|orange wheel,Ramos|Gin|Fizz|fizz|collins|Old|Tom|gin|egg|white|heavy|cream|orange|flower|water|simple|syrup|lemon|juice|lime|juice|soda|water|orange|wheel,Ramos|Gin|Fizz|fizz|collins,0.18989850060189276,-0.4037573411750219
Bitter Guiseppe,0.11715976331360901,0.0861538461538462,0.0049704142011834295,4.225,stirred,coupe,0.3,Cynar|sweet vermouth|lemon juice|orange bitter,Bitter|Guiseppe|stirred|coupe|Cynar|sweet|vermouth|lemon|juice|orange|bitter,Bitter|Guiseppe|stirred|coupe,0.4970335962304882,0.4965791988629001
Planter's Punch,0.118518518518519,0.0647407407407407,0.0114567901234568,5.0625,shaken,old-fashioned,0.35,dark rum|pineapple juice|lime juice|orange juice|simple syrup|pineapple wedge|orange wheel|mint sprig,Planter's|Punch|shaken|old-fashioned|dark|rum|pineapple|juice|lime|juice|orange|juice|simple|syrup|pineapple|wedge|orange|wheel|mint|sprig,Planter's|Punch|shaken|old-fashioned,-1.095338072945437,0.2606597567075036
