name,alcohol,sugar,acid,oz,style,glass,melt,ingredients,all_text,features,x,y
Old Pal,0.25521978021978,0.0445054945054945,0.000989010989010989,4.55,stirred,coupe,0.3,rye whiskey|dry vermouth|Campari,Old|Pal|stirred|coupe|rye|whiskey|dry|vermouth|Campari,Old|Pal|stirred|coupe|rye|whiskey|dry|vermouth|Campari,0.9381207040740714,0.08677507262828386
Black Feather,0.258241758241758,0.0340659340659341,0.00131868131868132,4.55,stirred,coupe,0.3,cognac|dry vermouth|Cointreau|Angostura bitters,Black|Feather|stirred|coupe|cognac|dry|vermouth|Cointreau|Angostura|bitters,Black|Feather|stirred|coupe|cognac|dry|vermouth|Cointreau|Angostura|bitters,1.1384580341777093,0.2932432975481656
Brooklyn,0.25857988165680496,0.0479289940828402,0.000710059171597633,4.225,stirred,coupe,0.3,rye whiskey|Amer Picon|dry vermouth|Luxardo Maraschino|Angostura bitters|cherry,Brooklyn|stirred|coupe|rye|whiskey|Amer|Picon|dry|vermouth|Luxardo|Maraschino|Angostura|bitters|cherry,Brooklyn|stirred|coupe|rye|whiskey|Amer|Picon|dry|vermouth|Luxardo|Maraschino|Angostura|bitters|cherry,1.544833780455165,0.06682498040596481
Bobby Burns,0.2625,0.046474358974359,0.00115384615384615,3.9,stirred,coupe,0.3,blended scotch whiskey|sweet vermouth|Benedictine|lemon twist,Bobby|Burns|stirred|coupe|blended|scotch|whiskey|sweet|vermouth|Benedictine|lemon|twist,Bobby|Burns|stirred|coupe|blended|scotch|whiskey|sweet|vermouth|Benedictine|lemon|twist,1.2773257600785557,0.9977808194469833
Rob Roy,0.265976331360947,0.0284023668639053,0.00106508875739645,4.225,stirred,coupe,0.3,blended scotch whiskey|sweet vermouth|Angostura bitters|lemon twist,Rob|Roy|stirred|coupe|blended|scotch|whiskey|sweet|vermouth|Angostura|bitters|lemon|twist,Rob|Roy|stirred|coupe|blended|scotch|whiskey|sweet|vermouth|Angostura|bitters|lemon|twist,1.791566470736124,0.470099921933714
Zim Zala Bim,0.266666601025667,0.0717949866666207,0.0,3.2500013,stirred,coupe,0.3,reposado tequila|orange bitters|St Germain|sugar|lemon twist,Zim|Zala|Bim|stirred|coupe|reposado|tequila|orange|bitters|St|Germain|sugar|lemon|twist,Zim|Zala|Bim|stirred|coupe|reposado|tequila|orange|bitters|St|Germain|sugar|lemon|twist,0.9938905667633139,0.8571333252989404
Vieux Carre,0.268910256410256,0.046474358974359,0.00115384615384615,3.9,stirred,old-fashioned,0.3,rye whiskey|cognac|sweet vermouth|Benedictine|Angostura bitters|Peychaud's bitters,Vieux|Carre|stirred|old-fashioned|rye|whiskey|cognac|sweet|vermouth|Benedictine|Angostura|bitters|Peychaud's|bitters,Vieux|Carre|stirred|old-fashioned|rye|whiskey|cognac|sweet|vermouth|Benedictine|Angostura|bitters|Peychaud's|bitters,2.0727931635871517,-1.4778934129531283
Manhattan,0.272377622377622,0.0335664335664336,0.00125874125874126,3.575,stirred,coupe,0.3,rye whiskey|sweet vermouth|Angostura bitters|orange twist,Manhattan|stirred|coupe|rye|whiskey|sweet|vermouth|Angostura|bitters|orange|twist,Manhattan|stirred|coupe|rye|whiskey|sweet|vermouth|Angostura|bitters|orange|twist,1.9330102388968107,0.3002205236732013
Corn 'n' Oil,0.272727272727273,0.07696969696969701,0.0053030303030303,3.3,built,old-fashioned,0.2,blackstrap rum|falernum|lime juice|Angostura bitters|lime wedge,Corn|'n'|Oil|built|old-fashioned|blackstrap|rum|falernum|lime|juice|Angostura|bitters|lime|wedge,Corn|'n'|Oil|built|old-fashioned|blackstrap|rum|falernum|lime|juice|Angostura|bitters|lime|wedge,-0.5254297658482184,-1.8707567474127929
100 Year-Old Cigar,0.27948717948717894,0.0442307692307692,0.0,3.9,stirred,coupe,0.3,aged rum|Cynar|Benedictine|Islay scotch whiskey|Angostura bitters|absinthe,100|Year-Old|Cigar|stirred|coupe|aged|rum|Cynar|Benedictine|Islay|scotch|whiskey|Angostura|bitters|absinthe,100|Year-Old|Cigar|stirred|coupe|aged|rum|Cynar|Benedictine|Islay|scotch|whiskey|Angostura|bitters|absinthe,1.0491112584125617,-0.8730737160461423
