tests,years,firstExt,firstExtSTD,deadWorld,deadWorldSTD,id,wolfEn,wolfRe,wolfFa,rabbitEn,rabbitRe,rabbitFa,wolfNum,rabbitNum,grassNum,debrisNum
1, 500, 41.0, 0.0, 41.0, 0.0, 'H257RO', 302, 422, 21, 85, 115, 8, 4, 18, 40, 2
1, 500, 146.0, 0.0, 146.0, 0.0, '6UOUSJ', 315, 383, 16, 65, 93, 5, 3, 15, 25, 18
1, 500, 23.0, 0.0, 23.0, 0.0, 'H92CWU', 317, 410, 19, 72, 108, 13, 3, 24, 8, 1
1, 500, 17.0, 0.0, 17.0, 0.0, 'A6QPH8', 294, 371, 20, 54, 97, 5, 1, 13, 21, 4
1, 500, 58.0, 0.0, 58.0, 0.0, 'IH9U25', 295, 384, 17, 78, 99, 5, 8, 13, 19, 18
1, 500, 217.0, 0.0, 217.0, 0.0, 'HFUM8C', 314, 392, 16, 76, 109, 9, 3, 24, 23, 12
1, 500, 34.0, 0.0, 34.0, 0.0, '0NH2FK', 308, 397, 16, 77, 92, 7, 3, 17, 28, 1
1, 500, 26.0, 0.0, 26.0, 0.0, 'OB0526', 307, 405, 27, 69, 93, 10, 4, 13, 16, 1
1, 500, 22.0, 0.0, 22.0, 0.0, '9XO5OE', 294, 408, 18, 57, 107, 8, 4, 14, 34, 1
1, 500, 117.0, 0.0, 117.0, 0.0, 'JGNVW0', 316, 400, 13, 63, 99, 12, 4, 15, 38, 7
1, 500, 21.0, 0.0, 21.0, 0.0, 'ZTOMIS', 309, 416, 26, 89, 97.9, 14, 2, 16, 35, 1
1, 500, 28.0, 0.0, 28.0, 0.0, 'M6YIU4', 308, 394, 26, 63, 113, 6, 4, 17, 26, 10
1, 500, 42.0, 0.0, 42.0, 0.0, 'ORP432', 291, 376, 15, 72, 88, 12, 6, 6, 12, 12
1, 500, 20.0, 0.0, 20.0, 0.0, '9TXLCV', 287, 362, 21, 85, 101, 13, 2, 23, 1, 15
1, 500, 56.0, 0.0, 56.0, 0.0, '8IWFKG', 286, 407, 9, 71, 89, 7, 4, 16, 34, 3
1, 500, 54.0, 0.0, 54.0, 0.0, '5QRL12', 294, 412, 15, 61, 104, 5, 2, 22, 16, 19
1, 500, 72.0, 0.0, 72.0, 0.0, 'KD71KD', 294, 400, 24, 84, 100, 15, 7, 19, 24, 5
1, 500, 7.0, 0.0, 7.0, 0.0, 'UOV7JM', 301, 402, 19, 77, 88, 12, 8, 14, 20, 6
1, 500, 59.0, 0.0, 59.0, 0.0, '2EVWGG', 291, 373, 12, 73, 116, 12, 2, 15, 29, 10
1, 500, 27.0, 0.0, 27.0, 0.0, '0E46H1', 291, 407, 19, 60, 81, 15, 2, 6, 18, 22
1, 500, 27.0, 0.0, 27.0, 0.0, 'WV99O4', 305, 382, 18, 66, 92, 9, 1, 11, 45, 1
1, 500, 30.0, 0.0, 30.0, 0.0, 'U19NZ9', 308, 405, 26, 86, 114, 9, 3, 13, 26, 24
1, 500, 32.0, 0.0, 32.0, 0.0, 'JJC2G2', 288, 398, 23, 78, 91, 5, 4, 24, 30, 22
1, 500, 52.0, 0.0, 52.0, 0.0, 'K0J5NC', 301, 403, 22, 59, 88, 11, 6, 15, 29, 25
1, 500, 101.0, 0.0, 101.0, 0.0, 'OZJCPD', 297, 412, 17, 60, 92, 5, 5, 27, 36, 6
1, 500, 75.0, 0.0, 75.0, 0.0, 'HMDJS0', 313, 394, 16, 80, 104, 5, 3, 27, 35, 15
1, 500, 58.0, 0.0, 58.0, 0.0, 'CLS2R8', 318, 384, 10, 78, 112, 10, 1, 30, 36, 10
1, 500, 118.0, 0.0, 118.0, 0.0, '9A3IS6', 322, 390, 11, 64, 113, 7, 4, 38, 21, 12
1, 500, 49.0, 0.0, 49.0, 0.0, 'ARNRR7', 315, 407, 17, 64, 110, 6, 5, 31, 25, 10
1, 500, 156.0, 0.0, 156.0, 0.0, '215LK6', 317, 386, 11, 53, 135, 5, 4, 25, 21, 12
1, 500, 26.0, 0.0, 26.0, 0.0, 'BJB09R', 314, 390, 12, 50, 125, 5, 1, 21, 7, 27
1, 500, 225.0, 0.0, 225.0, 0.0, 'UJSHVC', 340, 375, 8, 58, 127, 5, 3, 11, 15, 22
1, 500, 198.0, 0.0, 198.0, 0.0, '8YR86Q', 333, 376, 6, 61, 133, 5, 3, 15, 17, 27
1, 500, 500.0, 0.0, 500.0, 0.0, 'XVSXIR', 339, 373, 7, 77, 129, 5, 3, 14, 17, 27
