grassNum,grassEn,grassRe,grassFa,wolfNum,wolfEn,wolfRe,wolfFa,rabbitNum,rabbitEn,rabbitRe,rabbitFa
122,104.2,128.7,1.5,13,114.5,332.7,27.7,75,34.6,49.8,5.5
128,103.2,128.3,1.7,12,118.8,332.2,27.7,81,34.5,50.4,5.5
129,103.1,127.8,1.9,12,112.2,332.2,27.7,87,35.1,49.4,5.6
124,105.8,128.0,2.0,13,112.1,332.0,27.8,90,37.8,48.5,5.6
123,106.8,127.4,2.1,13,111.4,332.0,27.8,98,37.0,48.9,5.6
126,106.9,127.5,2.2,12,127.4,332.1,27.8,94,37.3,49.6,5.6
123,111.8,127.0,2.3,13,123.8,332.1,27.8,102,37.3,49.2,5.7
125,112.3,126.9,2.6,12,163.4,331.4,28.1,106,33.4,49.0,5.6
126,118.3,127.1,2.6,11,190.3,331.5,28.1,105,32.0,47.6,5.7
131,121.6,126.8,2.7,13,187.6,331.3,28.1,103,29.4,47.8,5.7
137,123.3,126.6,2.7,13,196.1,331.3,28.1,95,29.5,46.5,5.7
139,127.8,126.6,2.7,13,204.7,331.3,28.1,92,27.5,44.6,5.7
149,128.9,126.0,2.8,14,196.7,331.3,28.1,91,24.9,45.2,5.7
150,129.4,125.5,3.0,16,191.4,331.3,28.1,77,32.0,44.3,5.7
155,132.1,125.0,3.1,17,192.8,331.3,28.1,67,27.1,42.9,5.7
166,130.2,125.1,3.1,19,172.6,331.1,28.2,62,34.3,42.0,5.6
172,131.2,124.9,3.1,19,149.0,331.1,28.2,70,35.4,40.8,5.6
178,131.6,124.5,3.1,18,141.9,331.2,28.2,70,37.9,38.9,5.6
184,128.6,124.5,3.1,18,152.5,331.1,28.2,67,39.7,35.4,5.5
174,132.3,124.5,3.2,18,139.3,331.1,28.2,74,45.6,32.7,5.4
174,128.3,124.4,3.2,19,123.4,331.2,28.2,85,47.7,31.5,5.4
182,123.1,124.0,3.4,17,124.9,331.3,28.2,96,44.6,30.9,5.4
178,121.0,124.0,3.6,14,133.4,330.9,28.2,115,41.3,31.7,5.4
175,119.2,124.1,3.7,13,157.8,331.2,28.2,123,42.9,32.0,5.4
173,115.6,124.7,3.7,12,185.0,331.2,28.2,135,41.7,33.6,5.4
154,114.3,124.7,3.8,12,200.3,331.2,28.2,143,46.2,34.7,5.4
151,108.9,123.8,3.9,14,191.2,331.6,28.1,164,42.5,35.8,5.4
131,101.9,123.1,4.1,15,203.9,331.6,28.2,183,41.0,36.4,5.5
102,104.2,122.6,4.4,15,220.5,332.2,28.1,209,38.1,36.4,5.5
89,99.1,122.6,4.3,16,225.0,332.2,28.1,230,33.2,37.0,5.5
69,98.6,124.6,3.7,17,233.7,332.1,28.2,242,31.4,36.1,5.5
53,95.7,124.5,2.7,19,228.9,332.1,28.2,252,30.9,36.2,5.5
34,94.9,125.5,2.5,20,228.9,332.1,28.2,264,27.2,36.1,5.6
29,93.9,125.7,1.4,21,230.7,332.2,28.2,267,23.3,35.4,5.6
27,87.1,126.4,0.6,22,236.3,332.2,28.2,245,19.9,35.3,5.7
26,98.0,128.5,0.2,25,222.5,332.3,28.2,202,19.0,36.5,5.6
29,93.7,127.5,0.5,25,220.6,332.3,28.2,150,20.5,38.7,5.7
34,85.6,127.5,0.9,28,200.7,332.3,28.2,108,23.9,42.3,5.6
38,87.8,125.5,0.8,28,201.9,332.7,28.3,81,26.1,44.6,5.7
40,92.0,126.5,0.6,29,188.5,332.8,28.3,67,27.7,45.6,5.7
39,97.9,127.1,0.6,30,174.0,332.8,28.3,55,28.5,49.8,5.8
48,95.1,128.6,0.7,30,170.7,332.7,28.3,46,32.2,48.7,5.8
50,96.7,127.2,0.8,30,152.7,332.7,28.3,44,35.0,50.2,5.8
59,100.0,126.2,0.8,30,138.5,332.7,28.3,39,30.1,48.7,5.9
67,103.7,126.9,0.8,28,127.5,332.8,28.3,35,35.7,50.7,5.9
78,103.9,127.9,1.2,25,118.3,332.5,28.3,38,35.7,52.1,6.0
89,103.0,127.6,1.5,23,112.4,332.5,28.3,38,33.1,51.2,5.9
102,103.4,127.1,1.6,20,124.3,332.3,28.4,31,33.1,52.6,6.0
112,105.1,127.3,1.8,18,120.6,332.5,28.4,26,41.3,58.4,6.2
122,109.0,127.8,2.0,15,124.0,332.5,28.3,24,49.4,58.3,6.0
132,113.7,128.0,2.0,13,120.4,332.3,28.3,28,47.2,62.8,6.2
143,116.3,127.5,2.0,11,123.9,332.4,28.5,32,45.8,62.7,6.2
145,116.8,127.3,2.2,10,129.3,332.6,28.6,39,51.0,62.1,6.2
152,116.4,127.3,2.3,8,136.4,332.9,28.5,52,52.0,62.1,6.2
153,117.7,127.7,2.3,8,124.8,332.9,28.5,64,55.4,61.8,6.3
152,117.5,127.2,2.4,7,132.4,332.0,28.5,73,60.2,61.7,6.4
140,119.7,127.3,2.5,7,119.8,332.0,28.5,95,54.5,61.5,6.4
136,118.7,127.0,2.7,7,149.7,332.0,28.5,109,51.2,61.6,6.3
133,117.7,126.8,2.7,8,175.1,332.2,28.5,122,46.9,61.3,6.3
114,115.4,127.0,2.8,9,194.1,332.2,28.6,137,47.9,61.6,6.3
109,110.8,126.3,3.0,10,207.4,332.2,28.6,144,48.0,61.4,6.3
102,112.7,126.0,3.0,11,244.0,332.5,28.8,160,42.0,61.0,6.2
83,113.0,125.7,3.0,13,236.3,332.4,28.8,161,44.8,61.1,6.2
78,110.5,126.5,2.9,16,231.1,332.5,29.0,165,43.8,61.1,6.1
76,102.3,126.2,3.0,17,239.5,332.3,29.0,168,41.5,61.3,6.1
75,98.8,126.9,2.7,18,242.4,332.2,28.9,160,42.2,61.2,6.1
73,99.4,126.2,2.8,19,233.9,332.5,29.0,165,38.2,61.2,6.1
59,100.9,128.7,2.5,21,223.9,332.6,29.0,166,37.9,61.1,6.1
47,98.8,128.3,2.4,23,220.4,332.6,29.0,166,38.2,61.1,6.1
35,98.7,127.2,2.0,26,212.2,332.9,29.1,159,36.3,61.5,6.1
39,91.6,128.7,1.2,26,200.5,332.9,29.1,156,34.3,61.5,6.1
36,91.8,130.4,0.7,28,187.2,333.1,29.1,149,33.3,61.3,6.1
40,91.7,129.8,0.8,28,183.6,333.1,29.1,131,30.6,60.9,6.0
41,95.2,130.3,0.7,29,172.9,333.3,29.1,124,27.2,60.8,6.0
46,98.6,129.8,0.7,29,164.9,333.5,29.1,103,25.3,60.5,5.9
52,101.7,129.5,0.7,29,151.6,333.5,29.1,85,27.3,59.9,5.8
56,100.0,129.0,0.9,26,148.8,333.4,29.1,75,32.5,59.8,5.8
62,95.9,127.8,1.0,24,140.8,333.3,29.1,72,36.7,59.5,5.8
64,95.4,129.1,1.3,23,137.8,333.3,29.1,60,36.7,60.3,5.9
64,99.6,128.8,1.5,22,124.1,333.0,29.0,58,40.2,60.5,5.9
72,103.2,127.7,1.0,20,117.6,333.2,29.1,56,42.1,60.4,6.1
75,101.0,128.4,1.4,18,109.9,333.3,29.1,59,49.0,60.0,6.1
82,94.7,126.8,1.5,17,112.1,332.6,29.1,70,47.3,60.0,6.1
76,96.8,126.0,1.5,13,149.9,332.3,29.1,74,49.9,60.6,6.2
77,96.5,126.9,1.7,11,192.7,332.4,29.2,85,45.2,60.7,6.3
75,98.6,127.7,1.8,12,214.1,331.9,29.4,89,41.2,60.8,6.3
68,101.1,128.8,1.7,12,249.5,332.0,29.6,85,46.8,60.9,6.3
77,101.2,129.0,1.7,14,237.8,332.1,29.5,87,39.8,61.2,6.4
69,102.7,128.3,2.1,15,210.8,331.9,29.5,95,42.6,61.5,6.3
66,99.8,128.1,2.0,16,194.8,331.8,29.4,103,43.6,61.5,6.2
60,94.2,128.4,2.0,16,174.3,331.8,29.4,121,43.0,61.7,6.2
47,92.7,127.8,2.2,16,167.7,331.8,29.4,135,40.8,62.0,6.2
45,92.1,125.9,1.9,16,160.4,331.8,29.4,145,38.5,62.0,6.1
37,94.8,128.2,2.1,16,170.7,331.4,29.5,145,36.9,62.1,6.2
32,92.3,130.3,1.6,16,184.4,331.0,29.6,140,34.4,62.2,6.2
33,93.7,129.9,0.9,16,177.4,331.0,29.6,140,33.3,62.0,6.1
25,92.6,132.9,0.4,16,164.5,331.0,29.6,142,34.1,61.9,6.2
31,82.7,130.5,0.5,15,171.4,330.8,29.7,136,32.1,61.6,6.2
23,89.6,131.2,0.7,16,162.5,330.6,29.8,135,30.5,61.9,6.3
24,95.3,127.1,0.6,16,156.7,330.6,29.8,115,30.7,61.5,6.2
