grassNum,grassEn,grassRe,grassFa,wolfNum,wolfEn,wolfRe,wolfFa,rabbitNum,rabbitEn,rabbitRe,rabbitFa
18,79.6,129.4,0.0,4,309.5,383.2,14.5,14,57.2,107.8,6.3
13,87.2,129.8,0.0,4,322.5,383.2,14.5,11,73.0,107.7,6.6
12,94.3,129.7,0.4,4,322.9,383.2,14.5,11,65.2,106.2,6.8
12,104.3,129.7,0.4,5,275.1,384.2,14.8,11,60.8,107.8,6.0
13,111.3,129.4,0.4,5,271.8,384.2,14.8,10,52.2,107.9,6.1
18,93.3,128.9,1.1,5,269.8,384.2,14.8,8,66.4,104.0,6.4
21,94.5,129.1,1.2,5,255.0,384.2,14.8,9,59.1,105.9,6.3
25,95.3,130.2,1.4,5,240.1,384.2,14.8,9,58.5,105.9,6.3
28,102.1,130.0,1.4,5,225.3,384.2,14.8,9,52.3,106.0,6.9
32,96.7,130.5,1.9,5,217.7,384.2,14.8,9,48.5,106.0,6.8
38,94.7,129.7,2.0,5,208.4,384.2,14.8,9,48.0,104.5,7.4
39,102.7,129.5,2.1,5,197.0,384.2,14.8,9,57.1,101.8,7.9
44,102.2,129.6,1.9,5,193.7,384.2,14.8,12,43.5,98.9,8.5
47,99.2,129.4,2.1,5,178.8,384.2,14.8,12,55.8,98.9,8.5
52,98.2,129.6,2.4,5,164.0,384.2,14.8,15,45.8,99.3,8.4
54,98.8,129.2,2.2,5,149.1,384.2,14.8,17,58.3,100.0,8.5
52,102.0,129.0,2.6,5,134.3,384.2,14.8,20,61.0,99.9,8.6
57,98.2,129.3,2.8,5,119.5,384.2,14.8,26,55.0,102.3,8.4
60,95.2,130.0,3.0,4,144.1,382.8,14.3,30,55.4,103.8,8.2
60,97.0,129.8,3.2,4,144.5,382.8,14.3,31,55.6,105.4,8.0
57,101.6,130.1,3.3,4,151.8,382.8,14.3,33,59.3,107.4,7.7
58,105.1,129.7,3.2,4,152.5,382.8,14.3,31,63.8,109.3,7.5
61,105.8,129.3,3.6,4,138.2,382.8,14.3,32,61.9,111.1,7.3
72,101.0,130.2,3.5,4,146.7,382.8,14.3,31,58.9,110.8,7.4
70,106.5,129.7,3.6,4,146.1,382.8,14.3,30,66.8,113.3,7.0
72,105.8,129.9,3.9,4,162.8,382.8,14.3,30,70.2,114.0,6.7
79,102.1,130.5,4.0,3,210.2,381.0,13.7,31,70.9,114.8,6.4
77,106.2,130.4,4.1,3,208.4,381.0,13.7,37,69.3,113.7,6.6
72,105.5,131.3,4.2,3,207.0,381.0,13.7,43,78.9,114.3,6.4
72,104.9,131.4,3.8,3,208.7,381.0,13.7,50,76.7,114.3,6.4
65,113.5,132.0,4.1,3,228.4,381.0,13.7,55,70.2,112.3,6.7
60,118.0,131.7,4.4,4,225.0,382.4,13.9,58,68.8,111.8,6.7
59,113.7,132.9,4.3,4,247.8,382.4,13.9,65,63.7,109.5,7.1
53,107.8,134.1,4.4,5,229.4,383.3,13.8,75,61.7,109.3,7.1
48,101.2,134.1,4.2,5,215.6,383.3,13.8,83,61.3,110.0,7.0
