year,lat,long,name,energy
1,9,1,rabbit,77.0
1,0,-8,debris,11.0
1,-1,-5,rabbit,92.3
1,-10,-8,wolf,327.0
1,6,8,wolf,273.0
1,3,1,wolf,258.0
1,6,-8,grass,67.0
1,-3,9,debris,66.0
1,-3,4,rabbit,75.0
1,-5,4,debris,71.0
1,0,11,rabbit,53.0
1,-4,8,wolf,292.0
1,1,-4,rabbit,92.5
1,-3,-10,debris,31.0
1,7,9,debris,44.0
1,7,8,rabbit,35.0
1,1,1,debris,31.0
1,-2,5,debris,7.0
1,-3,-1,rabbit,54.0
1,0,2,grass,84.0
1,0,-1,debris,1.0
1,1,0,debris,36.0
1,-3,1,rabbit,70.8
1,-1,-6,debris,51.0
1,0,-6,rabbit,47.0
1,-2,6,grass,113.0
1,3,5,grass,95.0
1,-3,10,rabbit,62.0
1,-5,-6,rabbit,47.0
1,4,0,rabbit,61.0
1,-5,2,wolf,323.2
1,9,2,debris,12.0
1,8,0,debris,62.0
1,5,-4,grass,112.0
1,-8,0,grass,98.0
1,3,4,rabbit,133.0
1,-3,-2,rabbit,56.0
1,-4,0,rabbit,49.0
1,7,4,grass,92.0
1,-4,2,rabbit,61.5
1,-7,-7,grass,95.0
1,0,3,debris,40.0
1,-2,1,rabbit,58.5
1,-1,-4,debris,51.0
1,-4,-2,rabbit,74.6
1,4,2,grass,73.0
1,10,4,debris,32.0
1,-1,-1,rabbit,61.4
1,-2,-5,rabbit,35.0
1,0,0,rabbit,60.0
1,7,-1,rabbit,73.0
1,3,2,wolf,318.0
2,0,-8,debris,21.0
2,-2,-6,rabbit,66.6
2,-2,0,rabbit,42.6
2,-3,-3,rabbit,37.0
2,-2,2,rabbit,58.5
2,6,-8,grass,77.0
2,-3,9,debris,76.0
2,-5,4,debris,81.0
2,-1,1,rabbit,41.0
2,-1,10,rabbit,30.0
2,-3,-6,rabbit,17.0
2,1,-4,rabbit,46.2
2,-3,-10,debris,41.0
2,7,9,debris,54.0
2,1,1,debris,41.0
2,-2,5,debris,17.0
2,-2,11,rabbit,40.0
2,-1,2,rabbit,45.5
2,0,2,grass,94.0
2,0,-1,debris,11.0
2,1,0,debris,46.0
2,-6,-5,rabbit,28.0
2,8,-1,rabbit,52.0
2,2,-5,rabbit,67.7
2,-3,0,rabbit,33.0
2,-1,-6,debris,61.0
2,-2,6,grass,123.0
2,3,5,grass,105.0
2,-9,-7,wolf,314.0
2,9,2,debris,22.0
2,8,0,debris,72.0
2,2,2,wolf,297.0
2,5,-4,grass,122.0
2,-3,2,wolf,341.9
2,-8,0,grass,108.0
2,3,4,rabbit,66.5
2,-5,-2,rabbit,55.3
2,7,4,grass,102.0
2,-7,-7,grass,105.0
2,0,3,debris,50.0
2,8,2,rabbit,69.0
2,-1,-7,rabbit,21.0
2,-3,5,rabbit,62.0
2,-1,-4,debris,61.0
2,-5,9,wolf,280.0
2,2,4,rabbit,78.5
2,6,8,wolf,271.5
2,4,1,wolf,272.5
2,4,2,grass,83.0
2,10,4,debris,42.0
2,-2,-1,rabbit,42.0
3,0,-8,debris,31.0
3,3,1,wolf,276.0
3,-5,4,debris,91.0
3,-2,6,rabbit,128.5
3,-3,-10,debris,51.0
3,-2,5,debris,27.0
3,-8,-7,wolf,301.0
3,0,-1,debris,21.0
3,1,0,debris,56.0
3,-3,1,wolf,353.8
3,-1,-6,debris,71.0
3,-3,10,rabbit,75.5
3,2,-3,rabbit,28.2
3,9,2,debris,32.0
3,-8,0,grass,118.0
3,-5,10,wolf,268.0
3,-2,-7,rabbit,41.0
3,8,1,rabbit,61.0
3,-2,1,rabbit,17.0
3,-1,-4,debris,71.0
3,-4,-3,rabbit,36.1
3,4,2,grass,93.0
3,10,4,debris,52.0
3,-5,-4,rabbit,9.0
3,-3,3,rabbit,46.2
3,-1,11,rabbit,7.0
3,6,-8,grass,87.0
3,-3,9,debris,38.0
3,5,-4,grass,132.0
3,7,9,debris,64.0
3,-3,0,rabbit,30.0
3,1,1,debris,51.0
3,0,3,debris,60.0
3,3,5,rabbit,124.0
3,0,1,rabbit,69.0
3,-1,3,rabbit,32.5
3,8,0,debris,82.0
3,1,-5,rabbit,50.0
3,3,3,rabbit,63.8
3,9,0,rabbit,31.0
3,5,1,wolf,256.5
3,7,4,grass,112.0
3,-7,-7,grass,115.0
3,-2,-4,rabbit,18.0
3,5,9,wolf,252.5
4,0,-8,debris,41.0
4,-5,4,debris,45.5
4,-2,6,rabbit,64.2
4,-3,-10,debris,61.0
4,-2,5,debris,37.0
4,-4,-2,rabbit,16.8
4,0,-1,debris,31.0
4,1,0,debris,66.0
4,-1,-6,debris,81.0
4,-1,-7,rabbit,15.3
4,4,0,wolf,255.0
4,9,2,debris,42.0
4,-3,11,rabbit,53.5
4,-4,3,rabbit,86.2
4,-8,0,grass,128.0
4,10,-1,rabbit,10.0
4,8,2,rabbit,53.0
4,-1,-4,debris,81.0
4,-9,-8,wolf,288.0
4,3,-3,rabbit,10.2
4,2,6,rabbit,76.1
4,4,2,wolf,314.2
4,10,4,debris,62.0
4,6,-8,grass,97.0
4,-3,9,debris,48.0
4,-4,1,wolf,365.3
4,-6,11,wolf,256.0
4,5,-4,grass,142.0
4,0,2,rabbit,50.0
4,7,9,debris,74.0
4,1,1,debris,61.0
4,0,3,debris,70.0
4,4,8,wolf,233.5
4,3,5,rabbit,62.0
4,0,-4,rabbit,32.4
4,8,0,debris,92.0
4,-2,7,rabbit,86.0
4,0,4,rabbit,19.5
4,7,4,grass,122.0
4,-7,-7,grass,125.0
5,0,-8,debris,51.0
5,-5,11,wolf,244.0
5,3,1,wolf,234.0
5,5,2,wolf,298.2
5,1,5,rabbit,61.9
5,-5,4,debris,55.5
5,4,-3,grass,104.6
5,-2,6,rabbit,73.4
5,-3,-10,debris,71.0
5,-2,5,debris,47.0
5,0,-1,debris,41.0
5,1,0,debris,76.0
5,-3,1,wolf,353.3
5,-1,-6,debris,91.0
5,-3,10,rabbit,31.5
5,-1,4,rabbit,6.5
5,9,2,debris,52.0
5,-8,0,grass,64.0
5,-1,2,rabbit,31.0
5,-1,-4,debris,91.0
5,5,8,wolf,214.5
5,10,4,debris,72.0
5,6,-8,grass,107.0
5,-3,9,debris,58.0
5,-3,4,rabbit,73.9
5,-7,1,grass,84.8
5,7,2,rabbit,45.0
5,5,-4,grass,71.0
5,7,9,debris,84.0
5,1,1,debris,71.0
