tests,years,firstExt,firstExtSTD,deadWorld,deadWorldSTD,id,wolfEn,wolfRe,wolfFa,rabbitEn,rabbitRe,rabbitFa,wolfNum,rabbitNum,grassNum,debrisNum
1, 500, 114.0, 0.0, 114.0, 0.0, 'U6FRJL', 320, 411, 18, 82, 111, 8, 3, 18, 5, 22
1, 500, 23.0, 0.0, 23.0, 0.0, 'C2I04Z', 292, 399, 23, 92, 112, 12, 1, 16, 25, 17
1, 500, 18.0, 0.0, 18.0, 0.0, 'IX7NBR', 304, 381, 12, 74, 92, 14, 2, 20, 39, 1
1, 500, 80.0, 0.0, 80.0, 0.0, '7UIB01', 302, 412, 14, 77, 101, 11, 5, 19, 27, 1
1, 500, 20.0, 0.0, 20.0, 0.0, 'KAR5OB', 305, 377, 16, 76, 96, 14, 2, 8, 5, 8
1, 500, 37.0, 0.0, 37.0, 0.0, '1PEUZB', 297, 389, 17, 69, 100, 15, 7, 25, 15, 14
1, 500, 56.0, 0.0, 56.0, 0.0, 'JITGSD', 289, 385, 17, 76, 98, 17, 6, 19, 16, 15
1, 500, 85.0, 0.0, 85.0, 0.0, 'KWS56A', 281, 379, 15, 71, 86, 9, 1, 12, 26, 12
1, 500, 26.0, 0.0, 26.0, 0.0, 'I6D300', 306, 388, 24, 52, 101, 5, 1, 17, 36, 1
1, 500, 17.0, 0.0, 17.0, 0.0, 'PO587W', 302, 402, 27, 80, 93, 12, 3, 15, 30, 12
1, 500, 244.0, 0.0, 244.0, 0.0, '24UYO9', 309, 389, 16, 74, 103, 6, 3, 12, 16, 26
1, 500, 186.0, 0.0, 186.0, 0.0, 'NQGJB6', 304, 405, 10, 92, 101.2, 12, 3, 21, 33, 11
1, 500, 21.0, 0.0, 21.0, 0.0, 'FY9Z5Q', 296, 392, 21, 77, 100, 9, 4, 17, 15, 1
1, 500, 12.0, 0.0, 12.0, 0.0, 'N1Y9LH', 301, 400, 29, 80, 96, 8, 1, 12, 21, 33
1, 500, 24.0, 0.0, 24.0, 0.0, 'C9G7JK', 306, 406, 24, 52, 86, 5, 1, 9, 25, 18
1, 500, 27.0, 0.0, 27.0, 0.0, 'OUFNP7', 288, 391, 21, 81, 110, 13, 5, 16, 22, 5
1, 500, 16.0, 0.0, 16.0, 0.0, 'WURY1C', 303, 410, 23, 92, 101.2, 5, 1, 21, 2, 1
1, 500, 31.0, 0.0, 31.0, 0.0, 'NHRJDI', 297, 395, 20, 57, 109, 9, 3, 21, 29, 1
1, 500, 25.0, 0.0, 25.0, 0.0, 'WVWVZQ', 301, 389, 19, 69, 84, 17, 1, 16, 38, 1
1, 500, 76.0, 0.0, 76.0, 0.0, '0X2W7T', 306, 400, 14, 60, 106, 5, 8, 14, 36, 9
1, 500, 147.0, 0.0, 147.0, 0.0, 'H030MC', 287, 408, 18, 64, 85, 12, 7, 21, 46, 20
1, 500, 9.0, 0.0, 9.0, 0.0, 'QGRPGQ', 305, 398, 19, 66, 87, 13, 1, 6, 1, 28
1, 500, 27.0, 0.0, 27.0, 0.0, 'EHGVMY', 310, 415, 26, 63, 96, 7, 4, 6, 18, 9
1, 500, 77.0, 0.0, 77.0, 0.0, 'H9X270', 300, 389, 12, 77, 85, 12, 1, 19, 19, 26
1, 500, 16.0, 0.0, 16.0, 0.0, 'BRDLAL', 307, 423, 30, 85, 95, 22, 6, 15, 18, 14
1, 500, 128.0, 0.0, 128.0, 0.0, 'Q6VPLQ', 305, 405, 15, 75, 105, 5, 4, 15, 26, 11
1, 500, 90.0, 0.0, 90.0, 0.0, 'XMSX3Q', 310, 410, 10, 80, 110, 5, 5, 14, 27, 12
1, 500, 34.0, 0.0, 34.0, 0.0, 'X7OCKR', 315, 415, 5, 85, 105, 5, 6, 15, 28, 13
1, 500, 99.0, 0.0, 99.0, 0.0, '4BWK86', 320, 410, 5, 90, 110, 5, 7, 16, 29, 14
1, 500, 142.0, 0.0, 142.0, 0.0, '6WBGRT', 315, 405, 5, 95, 115, 5, 8, 17, 30, 15
1, 500, 185.0, 0.0, 185.0, 0.0, 'T4IZPQ', 310, 400, 5, 100, 120, 5, 9, 18, 31, 16
1, 500, 77.0, 0.0, 77.0, 0.0, 'WBBPIL', 305, 395, 5, 105, 125, 5, 10, 19, 32, 17
1, 500, 98.0, 0.0, 98.0, 0.0, '6Y3DUQ', 300, 400, 5, 100, 130, 5, 9, 20, 33, 18
1, 500, 86.0, 0.0, 86.0, 0.0, 'OHVGB5', 305, 405, 5, 95, 125, 5, 10, 21, 34, 19
1, 500, 24.0, 0.0, 24.0, 0.0, '0DN2D2', 310, 410, 5, 90, 120, 5, 11, 22, 35, 20
1, 500, 79.0, 0.0, 79.0, 0.0, '7DNJLW', 315, 415, 5, 95, 115, 5, 10, 23, 36, 21
