"","labels","stat","value"
"1",1,"deadWorld",40.75
"2",1,"debrisNum",9.5
"3",1,"grassNum",26
"4",1,"rabbitEn",69
"5",1,"rabbitFa",8.25
"6",1,"rabbitNum",12.375
"7",1,"rabbitRe",105.25
"8",1,"wolfEn",295.625
"9",1,"wolfFa",18.75
"10",1,"wolfNum",4
"11",1,"wolfRe",404.5
"12",2,"deadWorld",118.125
"13",2,"debrisNum",9.75
"14",2,"grassNum",21.125
"15",2,"rabbitEn",66.875
"16",2,"rabbitFa",8.75
"17",2,"rabbitNum",13.625
"18",2,"rabbitRe",100
"19",2,"wolfEn",300.75
"20",2,"wolfFa",15.125
"21",2,"wolfNum",2
"22",2,"wolfRe",394.375
"23",3,"deadWorld",105.5
"24",3,"debrisNum",12.625
"25",3,"grassNum",26.5
"26",3,"rabbitEn",66.375
"27",3,"rabbitFa",8.25
"28",3,"rabbitNum",16.125
"29",3,"rabbitRe",97.625
"30",3,"wolfEn",299.5
"31",3,"wolfFa",19.125
"32",3,"wolfNum",3.375
"33",3,"wolfRe",397.25
"34",4,"deadWorld",200.625
"35",4,"debrisNum",40
"36",4,"grassNum",47.75
"37",4,"rabbitEn",38.875
"38",4,"rabbitFa",10.375
"39",4,"rabbitNum",13.375
"40",4,"rabbitRe",89.5
"41",4,"wolfEn",279.375
"42",4,"wolfFa",15.375
"43",4,"wolfNum",2.875
"44",4,"wolfRe",367.875
"45",5,"deadWorld",464.75
"46",5,"debrisNum",70.25
"47",5,"grassNum",63.5
"48",5,"rabbitEn",25.375
"49",5,"rabbitFa",7.375
"50",5,"rabbitNum",7.75
"51",5,"rabbitRe",100.375
"52",5,"wolfEn",252.875
"53",5,"wolfFa",5.875
"54",5,"wolfNum",2.75
"55",5,"wolfRe",359.5
"56",6,"deadWorld",322.125
"57",6,"debrisNum",61.875
"58",6,"grassNum",69.75
"59",6,"rabbitEn",28
"60",6,"rabbitFa",5.875
"61",6,"rabbitNum",6.875
"62",6,"rabbitRe",101.875
"63",6,"wolfEn",252.5
"64",6,"wolfFa",5.125
"65",6,"wolfNum",2.125
"66",6,"wolfRe",364.125
"67",7,"deadWorld",413.375
"68",7,"debrisNum",69
"69",7,"grassNum",65.5
"70",7,"rabbitEn",27.875
"71",7,"rabbitFa",11
"72",7,"rabbitNum",10.625
"73",7,"rabbitRe",99.75
"74",7,"wolfEn",259.25
"75",7,"wolfFa",5.75
"76",7,"wolfNum",1.875
"77",7,"wolfRe",338.75
"78",8,"deadWorld",438
"79",8,"debrisNum",74
"80",8,"grassNum",62.875
"81",8,"rabbitEn",25
"82",8,"rabbitFa",7.125
"83",8,"rabbitNum",8.625
"84",8,"rabbitRe",100.375
"85",8,"wolfEn",221.625
"86",8,"wolfFa",6.25
"87",8,"wolfNum",2.125
"88",8,"wolfRe",316.5
"89",9,"deadWorld",411.875
"90",9,"debrisNum",71.75
"91",9,"grassNum",63.125
"92",9,"rabbitEn",26.25
"93",9,"rabbitFa",11.5
"94",9,"rabbitNum",10.875
"95",9,"rabbitRe",102.375
"96",9,"wolfEn",193.375
"97",9,"wolfFa",6
"98",9,"wolfNum",1.125
"99",9,"wolfRe",353.125
"100",10,"deadWorld",428.333333333333
"101",10,"debrisNum",70.6666666666667
"102",10,"grassNum",62
"103",10,"rabbitEn",25
"104",10,"rabbitFa",6
"105",10,"rabbitNum",10.3333333333333
"106",10,"rabbitRe",103.333333333333
"107",10,"wolfEn",203
"108",10,"wolfFa",5
"109",10,"wolfNum",1.33333333333333
"110",10,"wolfRe",356.666666666667
