year,lat,long,name,energy
1,-3,7,debris,48.0
1,9,7,debris,30.0
1,-2,-7,debris,38.0
1,-11,8,debris,36.0
1,-10,-16,grass,85.0
1,6,-1,grass,78.0
1,5,-4,grass,58.0
1,1,-3,rabbit,69.5
1,-10,20,debris,60.0
1,-1,1,grass,115.0
1,-2,-4,debris,14.0
1,10,-2,debris,69.0
1,-13,10,debris,41.0
1,-6,-4,debris,10.0
1,9,-5,grass,108.0
1,3,-1,rabbit,114.5
1,-3,-5,debris,27.0
1,-28,-8,debris,48.0
1,-1,-3,grass,97.0
1,9,-2,debris,69.0
1,0,3,debris,47.0
1,-10,7,debris,41.0
1,1,1,grass,120.0
1,6,3,debris,48.0
1,-9,-12,debris,68.0
1,-4,-1,debris,56.0
1,-7,-4,grass,55.0
1,-1,-15,debris,52.0
1,4,-2,grass,92.0
1,20,-10,debris,36.0
1,-6,-1,rabbit,109.0
1,0,4,grass,84.0
1,-2,-2,grass,96.0
1,-2,1,grass,120.0
1,-7,-1,grass,71.0
1,3,0,grass,80.0
1,-7,-3,grass,97.0
1,6,-4,grass,83.0
1,-4,10,debris,15.0
1,0,5,debris,31.0
1,6,7,debris,72.0
1,4,4,rabbit,102.5
1,3,1,debris,54.0
1,-7,5,debris,48.0
1,-3,-10,debris,32.0
1,2,2,grass,70.0
1,3,-10,grass,52.0
1,-5,-4,debris,57.0
1,-14,-12,debris,49.0
1,-8,20,debris,14.0
1,-3,0,debris,64.0
1,-2,5,rabbit,128.5
1,-8,4,debris,38.0
1,5,-7,rabbit,82.0
1,0,-12,debris,72.0
1,1,8,debris,48.0
1,-3,11,rabbit,36.0
1,-3,-1,grass,109.0
1,1,7,debris,70.0
1,-2,2,rabbit,70.5
1,0,-6,grass,88.0
1,0,0,rabbit,56.5
1,22,-10,debris,67.0
1,5,-5,debris,23.0
1,4,0,grass,116.0
1,14,0,grass,86.0
1,-7,-13,debris,53.0
1,1,5,grass,81.0
1,-4,-3,grass,56.0
1,-1,-2,debris,22.0
1,-23,0,debris,26.0
1,-6,-2,grass,96.0
1,-11,0,grass,53.0
1,-3,-17,rabbit,15.0
1,-1,-6,grass,103.0
1,-2,0,grass,85.0
1,2,3,grass,70.0
1,7,10,rabbit,67.0
1,-5,18,debris,50.0
1,-4,4,debris,20.0
1,4,5,grass,103.0
1,-4,-4,debris,21.0
1,12,2,debris,19.0
1,-3,-4,grass,85.0
1,-4,11,grass,99.0
1,2,-5,grass,67.0
1,4,11,debris,69.0
1,15,2,debris,66.0
1,-9,-4,rabbit,18.0
1,-18,2,debris,80.0
1,-4,15,debris,76.0
1,-3,2,rabbit,25.0
1,8,-1,debris,34.0
1,20,-11,grass,90.0
1,-2,7,grass,116.0
1,0,15,grass,78.0
1,-6,14,debris,53.0
1,12,3,debris,24.0
1,0,-14,grass,77.0
1,0,-4,grass,100.0
1,4,-4,wolf,195.0
1,-5,3,grass,64.0
1,-1,0,grass,97.0
1,4,7,rabbit,5.0
1,-9,8,debris,37.0
1,-5,-2,grass,108.0
1,-3,-3,grass,103.0
1,1,2,grass,81.0
1,-6,6,debris,60.0
1,-1,3,grass,110.0
1,-16,8,debris,36.0
1,1,-6,grass,94.0
1,8,3,grass,88.0
1,5,-3,grass,75.0
1,14,-4,debris,34.0
1,0,-11,debris,22.0
1,0,-8,grass,70.0
1,4,1,grass,63.0
1,-1,-11,debris,43.0
1,-5,4,grass,107.0
1,-5,-12,debris,41.0
1,8,2,grass,107.0
1,-4,-2,debris,63.0
1,2,0,debris,23.0
1,-11,-16,debris,53.0
1,7,-10,grass,100.0
1,-5,5,grass,76.0
1,5,5,grass,77.0
1,6,0,debris,86.0
1,-3,3,grass,57.0
1,3,-7,debris,55.0
1,8,4,debris,-11.0
1,1,-9,grass,50.0
1,-10,5,debris,31.0
1,-3,-8,debris,38.0
1,-12,-6,debris,44.0
2,-3,7,debris,58.0
2,9,7,debris,40.0
2,-2,-7,debris,48.0
2,-11,8,debris,46.0
2,-10,-16,grass,95.0
2,6,-1,grass,88.0
2,5,-4,grass,68.0
2,3,-4,wolf,185.0
2,1,-3,rabbit,16.7
2,-10,20,debris,70.0
2,-1,1,grass,125.0
2,-2,-4,debris,24.0
2,10,-2,debris,79.0
2,-13,10,debris,51.0
2,-6,-4,debris,20.0
2,9,-5,grass,118.0
2,3,-1,rabbit,57.2
2,-3,-5,debris,37.0
2,-28,-8,debris,58.0
2,-1,-3,grass,107.0
2,9,-2,debris,79.0
2,0,3,debris,57.0
2,-10,7,debris,51.0
2,1,1,grass,130.0
2,6,3,debris,58.0
2,-9,-12,debris,78.0
2,-4,-1,debris,66.0
2,-7,-4,grass,65.0
2,-1,-15,debris,62.0
2,5,3,rabbit,45.2
2,4,-2,grass,102.0
2,20,-10,debris,46.0
2,-6,-1,rabbit,54.5
2,0,4,grass,94.0
2,-2,-2,grass,106.0
2,-2,1,grass,130.0
2,-2,-17,rabbit,8.0
2,-7,-1,grass,81.0
2,3,0,grass,90.0
2,-7,-3,grass,107.0
2,6,-4,grass,93.0
2,-4,10,debris,25.0
2,0,5,debris,41.0
2,6,7,debris,82.0
2,4,4,rabbit,51.2
2,3,1,debris,64.0
2,-7,5,debris,58.0
2,-3,-10,debris,42.0
2,2,2,grass,80.0
2,3,-10,grass,62.0
2,-5,-4,debris,67.0
2,-14,-12,debris,59.0
2,-8,20,debris,24.0
2,-3,0,debris,74.0
2,-2,5,rabbit,64.2
2,-8,4,debris,48.0
2,0,-12,debris,82.0
2,1,8,debris,58.0
2,-3,-1,grass,119.0
2,-1,-1,rabbit,8.7
2,1,7,debris,80.0
2,-2,2,rabbit,36.5
2,6,11,rabbit,51.0
2,0,-6,grass,98.0
2,22,-10,debris,77.0
2,5,-5,debris,33.0
2,4,0,grass,126.0
2,14,0,grass,96.0
2,-7,-13,debris,63.0
2,1,5,grass,91.0
2,-4,-3,grass,66.0
2,-1,-2,debris,32.0
2,-23,0,debris,36.0
2,-6,-2,grass,106.0
2,-10,-5,rabbit,13.0
2,-11,0,grass,63.0
2,-1,-6,grass,113.0
2,-2,0,grass,95.0
2,2,3,grass,80.0
2,-5,18,debris,60.0
2,-4,4,debris,30.0
2,4,5,grass,113.0
2,-4,-4,debris,31.0
2,12,2,debris,29.0
2,-3,-4,grass,95.0
2,6,-6,rabbit,76.0
2,2,-5,grass,77.0
2,4,11,debris,79.0
2,15,2,debris,76.0
2,-18,2,debris,90.0
2,-4,15,debris,86.0
2,2,-2,rabbit,19.9
2,8,-1,debris,44.0
2,20,-11,grass,100.0
2,-2,7,grass,126.0
2,0,15,grass,88.0
2,-6,14,debris,63.0
2,12,3,debris,34.0
2,0,-14,grass,87.0
2,0,-4,rabbit,59.8
2,-7,-2,rabbit,22.6
2,-5,3,grass,74.0
2,-1,0,rabbit,52.5
2,-9,8,debris,47.0
2,-5,-2,grass,118.0
2,-3,-3,grass,113.0
2,1,2,grass,91.0
2,-6,6,debris,70.0
2,-1,3,rabbit,62.8
2,-16,8,debris,46.0
2,1,-6,grass,104.0
2,8,3,grass,98.0
2,5,-3,grass,85.0
2,14,-4,debris,44.0
2,0,-11,debris,32.0
2,0,-8,grass,80.0
2,4,1,grass,73.0
2,-1,-11,debris,53.0
2,-5,4,grass,117.0
2,-5,-12,debris,51.0
2,8,2,grass,117.0
2,-4,12,rabbit,79.5
2,-4,-2,debris,73.0
2,2,0,debris,33.0
2,-11,-16,debris,63.0
2,7,-10,grass,110.0
2,-5,5,grass,86.0
2,5,5,grass,87.0
2,0,2,rabbit,29.1
2,6,0,debris,96.0
2,3,-7,debris,65.0
2,8,4,debris,-1.0
2,1,-9,grass,60.0
2,-10,5,debris,41.0
2,-3,-8,debris,48.0
2,-2,4,rabbit,38.6
2,-12,-6,debris,54.0
3,-3,7,debris,68.0
3,-3,1,rabbit,111.7
3,-2,-7,debris,58.0
3,-13,10,debris,61.0
3,-5,13,rabbit,73.5
3,-10,-16,grass,105.0
3,5,-4,grass,78.0
3,2,0,debris,43.0
3,10,-2,debris,89.0
3,-1,-11,debris,63.0
3,-3,-5,debris,47.0
3,8,-3,grass,88.0
3,-1,-3,rabbit,118.2
3,9,-2,debris,39.5
3,-7,-4,grass,75.0
3,-11,8,debris,56.0
3,0,4,rabbit,114.8
3,-2,-2,grass,116.0
3,-2,1,rabbit,69.0
3,-9,-5,rabbit,8.0
3,6,-5,rabbit,70.0
3,3,0,rabbit,51.1
3,-7,-3,rabbit,81.1
3,-9,8,debris,57.0
3,0,5,debris,51.0
3,6,7,debris,92.0
3,4,6,grass,92.3
3,2,2,grass,90.0
3,9,-5,grass,128.0
3,1,8,debris,68.0
3,-5,-4,debris,77.0
3,1,7,debris,90.0
3,-4,4,debris,40.0
3,4,0,grass,136.0
3,14,0,grass,106.0
