year,lat,long,name,energy
1,0,-8,grass,79.0
1,-6,4,grass,77.0
1,6,1,rabbit,60.0
1,9,-1,rabbit,110.1
1,-1,1,rabbit,63.0
1,-1,2,rabbit,83.6
1,-1,0,rabbit,55.0
1,4,-1,grass,109.0
1,0,5,wolf,263.0
1,5,-2,wolf,276.0
1,-10,0,rabbit,48.0
1,0,2,rabbit,136.0
1,2,-2,rabbit,104.0
1,-3,0,wolf,311.0
1,-1,-7,grass,74.0
1,0,-5,rabbit,37.0
1,3,5,rabbit,76.0
1,4,0,grass,68.0
1,-6,-8,grass,102.0
1,-3,4,rabbit,56.0
1,-2,-2,grass,69.0
1,-2,7,rabbit,33.0
1,4,8,debris,32.0
1,-1,3,rabbit,71.9
1,2,11,grass,77.0
1,5,1,grass,104.0
1,3,0,wolf,315.6
1,1,6,rabbit,70.0
1,2,3,rabbit,75.0
1,12,0,grass,109.0
1,4,-6,grass,115.0
1,-2,3,rabbit,54.5
1,8,-2,rabbit,54.5
1,2,1,wolf,192.5
2,0,-8,grass,89.0
2,-2,0,wolf,338.5
2,-1,-5,rabbit,27.0
2,-6,4,grass,87.0
2,-9,-1,rabbit,35.0
2,4,-1,grass,119.0
2,-2,5,rabbit,51.0
2,-3,8,rabbit,25.0
2,0,2,rabbit,68.0
2,4,-2,wolf,255.0
2,-1,-7,grass,84.0
2,-2,4,rabbit,49.5
2,0,1,rabbit,75.7
2,4,0,grass,78.0
2,-6,-8,grass,112.0
2,0,4,rabbit,66.9
2,10,-1,rabbit,101.1
2,-2,-2,grass,79.0
2,8,-3,rabbit,44.5
2,4,8,debris,42.0
2,2,11,grass,87.0
2,3,4,rabbit,67.0
2,5,1,rabbit,56.0
2,0,3,rabbit,90.0
2,3,0,wolf,167.5
2,1,-3,rabbit,99.0
2,-2,1,rabbit,48.0
2,12,0,grass,119.0
2,4,1,wolf,349.2
2,2,6,wolf,277.0
2,4,-6,grass,125.0
2,2,4,rabbit,65.0
3,0,-8,grass,99.0
3,4,4,rabbit,59.0
3,-6,4,grass,97.0
3,11,0,rabbit,92.2
3,-1,0,wolf,396.4
3,1,-4,rabbit,94.0
3,-10,-2,rabbit,22.0
3,4,-1,grass,129.0
3,0,5,rabbit,61.9
3,5,-2,wolf,234.0
3,-1,-7,grass,94.0
3,-1,4,rabbit,44.5
3,7,-4,rabbit,34.5
3,5,0,wolf,323.8
3,4,0,wolf,217.5
3,-6,-8,grass,122.0
3,0,4,rabbit,85.0
3,-2,-2,grass,89.0
3,4,8,debris,52.0
3,-1,3,rabbit,63.0
3,2,11,grass,97.0
3,3,4,rabbit,54.0
3,-1,5,rabbit,46.0
3,1,7,wolf,256.0
3,-1,-4,rabbit,17.0
3,12,0,grass,129.0
