year,lat,long,name,energy
1,-2,2,rabbit,111.7
1,0,9,debris,15.0
1,-4,-1,debris,46.0
1,-4,5,grass,84.0
1,5,2,debris,59.0
1,1,5,grass,95.0
1,-6,-5,rabbit,153.5
1,3,0,grass,72.0
1,-1,2,debris,28.0
1,-1,0,debris,13.0
1,2,-8,grass,68.0
1,-2,5,debris,38.0
1,-3,-6,debris,29.0
1,12,-2,grass,71.0
1,1,3,grass,88.0
1,7,-1,grass,86.0
1,3,-4,debris,62.0
1,2,-3,rabbit,62.9
1,-3,6,debris,49.0
1,6,2,debris,22.0
1,14,-11,grass,108.0
1,-12,10,debris,25.0
1,5,0,grass,108.0
1,-5,2,grass,90.0
1,2,2,debris,60.0
1,-10,-1,debris,15.0
1,4,8,rabbit,90.0
1,-8,0,grass,106.0
1,-6,5,rabbit,96.9
1,2,-4,debris,9.0
1,-3,-4,debris,62.0
1,7,0,debris,37.0
1,-9,5,rabbit,54.0
1,1,-3,debris,74.0
1,4,6,debris,57.0
1,-2,1,debris,44.0
1,-4,4,debris,63.0
1,-1,-4,debris,36.0
1,7,-4,debris,22.0
1,-4,-3,debris,15.0
1,-3,9,debris,12.0
1,-5,0,debris,36.0
1,9,10,debris,11.0
1,-4,9,debris,46.0
1,0,0,debris,-4.0
1,4,1,grass,134.0
1,2,0,rabbit,86.9
1,-2,0,grass,65.0
1,-1,-5,debris,30.0
1,6,3,grass,130.0
1,2,4,wolf,152.0
1,0,6,debris,4.0
1,7,-10,debris,51.0
1,-4,-2,grass,63.0
1,-13,1,debris,104.0
1,3,2,debris,22.0
1,5,9,debris,18.0
1,-10,3,grass,103.0
1,-5,6,debris,49.0
1,4,9,debris,68.0
1,0,5,debris,61.0
1,5,-2,debris,39.0
1,3,6,debris,34.0
1,-6,9,debris,42.0
1,-7,3,debris,69.0
1,-8,-1,grass,66.0
1,-3,0,debris,27.0
1,5,7,debris,8.0
1,0,3,debris,52.0
1,-1,-2,debris,37.0
1,-5,5,debris,37.0
1,0,1,grass,93.0
1,-1,3,rabbit,58.0
1,5,6,debris,61.0
1,0,-4,debris,38.0
1,0,-9,debris,78.0
1,5,-4,debris,46.0
1,-2,-2,debris,61.0
1,-2,7,grass,72.0
1,-4,6,debris,-4.0
1,2,-1,rabbit,64.8
1,0,4,grass,125.0
1,3,3,debris,44.0
1,-1,5,debris,62.0
1,-4,0,debris,2.0
1,7,4,debris,22.0
1,-1,-3,debris,56.0
1,1,2,debris,56.0
1,1,7,grass,83.0
1,-2,-5,debris,45.0
1,1,-2,rabbit,48.0
1,3,-1,debris,19.0
1,-7,4,rabbit,63.0
1,0,-12,grass,46.0
1,1,4,debris,14.0
1,10,3,debris,49.0
1,-2,-4,debris,22.0
1,3,-2,rabbit,54.2
1,-2,3,debris,39.0
1,0,14,grass,89.0
1,6,0,debris,48.0
1,1,0,debris,33.0
2,0,9,debris,25.0
2,-4,-1,debris,56.0
2,-1,-9,grass,78.0
2,-4,5,grass,94.0
2,5,2,debris,69.0
2,-6,-4,rabbit,92.5
2,1,5,grass,105.0
2,-6,-5,rabbit,76.8
2,3,0,rabbit,127.9
2,-3,3,rabbit,106.7
2,-1,2,debris,38.0
2,-1,0,debris,23.0
2,2,-8,grass,78.0
2,0,-2,rabbit,43.0
2,-2,5,debris,48.0
2,-3,-6,debris,39.0
2,12,-2,grass,81.0
2,1,3,grass,98.0
2,7,-1,grass,96.0
2,3,-4,debris,72.0
2,-3,6,debris,59.0
2,6,2,debris,32.0
2,14,-11,grass,118.0
2,-8,4,rabbit,46.0
2,-12,10,debris,35.0
2,5,0,grass,118.0
2,-5,2,grass,100.0
2,2,2,debris,70.0
2,-10,-1,debris,25.0
2,-8,0,grass,116.0
2,2,-4,debris,19.0
2,-3,-4,debris,72.0
2,7,0,debris,47.0
2,1,-3,debris,84.0
2,3,-3,rabbit,56.6
2,4,6,debris,67.0
2,-2,1,debris,54.0
2,-4,4,debris,73.0
2,-1,-4,debris,46.0
2,7,-4,debris,32.0
2,5,8,rabbit,85.0
2,-4,-3,debris,25.0
2,-3,9,debris,22.0
2,-5,0,debris,46.0
2,9,10,debris,21.0
2,-4,9,debris,56.0
2,0,0,debris,6.0
2,4,1,grass,144.0
2,-5,4,rabbit,91.5
2,-2,0,grass,75.0
2,-1,-5,debris,40.0
2,6,3,grass,140.0
2,0,6,debris,14.0
2,7,-10,debris,61.0
2,-4,-2,grass,73.0
2,-13,1,debris,114.0
2,3,2,debris,32.0
2,5,9,debris,28.0
2,-10,3,grass,113.0
2,-5,6,debris,59.0
2,4,9,debris,78.0
2,0,5,debris,71.0
2,5,-2,debris,49.0
2,3,6,debris,44.0
2,-6,9,debris,52.0
2,-7,3,debris,79.0
2,-8,-1,grass,76.0
2,2,-2,rabbit,53.8
2,-3,0,debris,37.0
2,5,7,debris,18.0
2,0,3,debris,62.0
2,3,5,wolf,147.0
2,-1,-2,debris,47.0
2,-5,5,debris,47.0
2,0,1,grass,103.0
2,-1,3,rabbit,114.7
2,5,6,debris,71.0
2,0,-4,debris,48.0
2,0,-9,debris,39.0
2,5,-4,debris,56.0
2,-2,-2,debris,71.0
2,-2,7,grass,82.0
2,-4,6,debris,6.0
2,2,-1,rabbit,49.2
2,0,4,rabbit,60.2
2,3,3,debris,54.0
2,-1,5,debris,72.0
2,-4,0,debris,12.0
2,7,4,debris,32.0
2,-1,-3,debris,66.0
2,1,2,debris,66.0
2,1,7,grass,93.0
2,-2,-5,debris,55.0
2,-6,3,rabbit,57.0
2,3,-1,debris,29.0
2,0,-12,grass,56.0
2,1,4,debris,24.0
2,10,3,debris,59.0
2,-2,-4,debris,32.0
2,-2,3,debris,49.0
2,0,14,grass,99.0
2,6,0,debris,58.0
2,1,0,debris,43.0
3,0,9,debris,35.0
3,-4,-1,debris,66.0
3,-1,-9,grass,88.0
3,-4,5,rabbit,143.5
3,5,2,debris,79.0
3,1,5,grass,115.0
3,-7,-5,rabbit,84.4
3,3,0,rabbit,64.0
3,-1,2,debris,48.0
3,-1,0,debris,33.0
3,2,-8,grass,88.0
3,-2,5,debris,58.0
3,-3,-6,debris,49.0
3,12,-2,grass,91.0
3,1,3,rabbit,114.2
3,0,-1,rabbit,38.0
3,7,-1,grass,106.0
3,3,-4,debris,82.0
3,2,-3,rabbit,50.4
3,-3,6,debris,69.0
3,6,2,debris,42.0
3,14,-11,grass,128.0
3,-12,10,debris,45.0
3,5,0,grass,128.0
3,-5,2,rabbit,112.0
3,2,2,debris,80.0
3,-10,-1,debris,35.0
3,-8,0,grass,126.0
3,2,-4,debris,29.0
3,-3,-4,debris,82.0
3,7,0,debris,57.0
3,1,-3,debris,94.0
3,3,-3,rabbit,42.8
3,4,6,debris,77.0
3,-2,1,debris,64.0
3,-4,4,debris,83.0
3,-1,-4,debris,56.0
3,7,-4,debris,42.0
3,-4,-3,debris,35.0
3,-3,9,debris,32.0
3,-5,0,debris,56.0
3,2,6,wolf,142.0
3,9,10,debris,31.0
3,2,1,rabbit,86.6
3,-4,9,debris,66.0
3,0,0,debris,16.0
3,4,1,grass,154.0
3,-2,0,grass,85.0
3,-1,-5,debris,50.0
3,6,3,grass,150.0
3,6,8,rabbit,80.0
3,0,6,debris,24.0
3,7,-10,debris,71.0
3,-4,-2,grass,83.0
3,-13,1,debris,57.0
3,3,2,debris,42.0
3,5,9,debris,38.0
3,-10,3,grass,123.0
3,-5,6,debris,69.0
3,4,9,debris,88.0
3,-5,-6,rabbit,68.8
3,0,5,debris,81.0
3,5,-2,debris,59.0
3,3,6,debris,54.0
3,-6,9,debris,62.0
3,-7,3,debris,89.0
3,-8,-1,grass,86.0
3,2,-2,rabbit,44.2
3,-3,0,debris,47.0
