tests,years,firstExt,firstExtSTD,deadWorld,deadWorldSTD,id,wolfEn,wolfRe,wolfFa,rabbitEn,rabbitRe,rabbitFa,wolfNum,rabbitNum,grassNum,debrisNum
1, 500, 500.0, 0.0, 500.0, 0.0, 'OU2MYA', 260, 359, 12, 92, 126, 5, 11, 29, 12, 43
1, 500, 500.0, 0.0, 500.0, 0.0, '40CWD5', 244, 332, 10, 68, 124, 5, 14, 29, 12, 44
1, 500, 500.0, 0.0, 500.0, 0.0, 'P6J0BC', 241, 344, 13, 78, 129, 5, 17, 31, 11, 39
1, 500, 153.0, 0.0, 153.0, 0.0, 'DJXHW0', 247, 341, 9, 67, 124, 6, 16, 31, 10, 43
1, 500, 19.0, 0.0, 19.0, 0.0, 'SIC7YH', 246, 356, 13, 71, 128, 7, 16, 29, 3, 42
1, 500, 49.0, 0.0, 49.0, 0.0, 'MXKG07', 245, 342, 17, 65, 132, 5, 22, 31, 17, 38
1, 500, 500.0, 0.0, 500.0, 0.0, 'M2D7XY', 240, 344, 14, 85, 139, 5, 22, 27, 10, 54
1, 500, 500.0, 0.0, 500.0, 0.0, 'YAXCTB', 234, 342, 16, 96, 138, 5, 19, 29, 8, 54
1, 500, 500.0, 0.0, 500.0, 0.0, '75ZH8Q', 240, 340, 14, 86, 138, 5, 20, 28, 8, 54
1, 500, 500.0, 0.0, 500.0, 0.0, '6BFE7K', 239, 351, 10, 83, 137, 5, 15, 27, 6, 48
1, 500, 500.0, 0.0, 500.0, 0.0, 'UZ77QR', 248, 350, 12, 83, 133, 5, 13, 29, 9, 42
1, 500, 500.0, 0.0, 500.0, 0.0, 'SMOEFC', 251, 351, 15, 80, 129, 5, 15, 30, 7, 49
1, 500, 177.0, 0.0, 177.0, 0.0, 'V0EKA7', 245, 351, 10, 79, 128, 5, 11, 28, 8, 48
1, 500, 500.0, 0.0, 500.0, 0.0, '622LR9', 246, 334, 12, 81, 133, 6, 10, 18, 12, 39
1, 500, 116.0, 0.0, 116.0, 0.0, 'PFD19W', 246, 337, 15, 88, 127, 5, 10, 21, 11, 47
1, 500, 160.0, 0.0, 160.0, 0.0, 'WENQOF', 265, 340, 16, 86, 131, 5, 13, 23, 9, 41
1, 500, 187.0, 0.0, 187.0, 0.0, '4OFKIT', 273, 331, 12, 85, 133, 5, 14, 18, 6, 39
1, 500, 500.0, 0.0, 500.0, 0.0, 'RRU68P', 266, 348, 10, 84, 137, 5, 15, 21, 10, 36
1, 500, 114.0, 0.0, 114.0, 0.0, 'D777O2', 265, 350, 6, 93, 132, 5, 14, 27, 15, 36
1, 500, 500.0, 0.0, 500.0, 0.0, '9KEEP9', 275, 341, 10, 115, 126, 5, 15, 31, 10, 44
1, 500, 500.0, 0.0, 500.0, 0.0, 'MB8TG6', 259, 348, 5, 123, 135, 5, 17, 29, 6, 54
1, 500, 154.0, 0.0, 154.0, 0.0, '6A83QB', 250, 349, 7, 127, 139, 5, 20, 31, 9, 55
1, 500, 500.0, 0.0, 500.0, 0.0, 'S716N7', 262, 351, 10, 117, 148, 5, 16, 29, 2, 51
1, 500, 133.0, 0.0, 133.0, 0.0, 'U8FIIG', 268, 325, 11, 119, 146, 5, 18, 32, 1, 52
1, 500, 500.0, 0.0, 500.0, 0.0, 'NOIYHJ', 277, 358, 5, 118, 129, 5, 19, 32, 2, 42
1, 500, 103.0, 0.0, 103.0, 0.0, '7RNJEL', 282, 342, 9, 105, 137, 5, 13, 29, 7, 37
1, 500, 125.0, 0.0, 125.0, 0.0, '8BJOC5', 279, 346, 14, 107, 123, 5, 13, 28, 5, 45
1, 500, 500.0, 0.0, 500.0, 0.0, '6Y0ZW1', 283, 353, 16, 99, 130, 6, 9, 29, 12, 43
1, 500, 500.0, 0.0, 500.0, 0.0, 'MU4EMF', 284, 351, 23, 85, 134, 5, 9, 34, 5, 48
1, 500, 124.0, 0.0, 124.0, 0.0, '54JX9R', 283, 344, 15, 89, 125, 5, 10, 35, 2, 48
1, 500, 133.0, 0.0, 133.0, 0.0, 'QM50NW', 282, 355, 9, 88, 134, 6, 11, 32, 10, 42
1, 500, 500.0, 0.0, 500.0, 0.0, 'YKEZE9', 281, 342, 16, 82, 137, 5, 13, 29, 2, 52
1, 500, 46.0, 0.0, 46.0, 0.0, 'L31CB0', 287, 346, 16, 83, 136, 5, 13, 30, 1, 47
1, 500, 500.0, 0.0, 500.0, 0.0, 'ZLZH53', 287, 344, 16, 93, 139, 5, 9, 29, 2, 39
1, 500, 318.0, 0.0, 318.0, 0.0, 'EIDGV1', 284, 351, 16, 78, 140, 5, 9, 28, 10, 36
1, 500, 192.0, 0.0, 192.0, 0.0, 'WTYEKH', 282, 359, 14, 79, 137, 5, 5, 31, 11, 40
1, 500, 465.0, 0.0, 465.0, 0.0, '7I3TDF', 274, 340, 17, 82, 135, 5, 3, 33, 8, 41
1, 500, 500.0, 0.0, 500.0, 0.0, 'YQXTI1', 261, 344, 17, 94, 130, 5, 3, 30, 10, 42
1, 500, 464.0, 0.0, 464.0, 0.0, 'WY8630', 245, 350, 21, 82, 136, 5, 5, 34, 4, 44
1, 500, 20.0, 0.0, 20.0, 0.0, 'U9I81S', 244, 353, 24, 88, 142, 5, 6, 32, 5, 44
1, 500, 484.0, 0.0, 484.0, 0.0, 'CREAZ7', 234, 335, 23, 97, 135, 5, 5, 31, 2, 55
1, 500, 403.0, 0.0, 403.0, 0.0, '7V4IMS', 239, 352, 22, 97, 133, 5, 6, 30, 6, 57
1, 500, 26.0, 0.0, 26.0, 0.0, '344FDL', 227, 342, 18, 86, 131, 5, 1, 32, 3, 62
1, 500, 33.0, 0.0, 33.0, 0.0, 'V0E0FK', 236, 334, 22, 94, 135, 5, 1, 34, 12, 41
1, 500, 500.0, 0.0, 500.0, 0.0, 'TC8SW1', 241, 355, 17, 105, 135, 5, 7, 26, 7, 43
