tests,years,firstExt,firstExtSTD,deadWorld,deadWorldSTD,id,wolfEn,wolfRe,wolfFa,rabbitEn,rabbitRe,rabbitFa,wolfNum,rabbitNum,grassNum,debrisNum
1, 500, 50.0, 0.0, 50.0, 0.0, '3DABC2', 285, 370, 16, 73, 107, 13, 4, 20, 36, 5
1, 500, 65.0, 0.0, 65.0, 0.0, 'Y4BUHQ', 282, 394, 19, 60, 97, 5, 7, 18, 26, 1
1, 500, 484.0, 0.0, 484.0, 0.0, 'TOIQMO', 308, 374, 23, 64, 89, 13, 4, 14, 31, 35
1, 500, 31.0, 0.0, 31.0, 0.0, 'N2L62X', 302, 391, 21, 60, 100, 5, 4, 13, 24, 1
1, 500, 12.0, 0.0, 12.0, 0.0, 'I9ILC7', 314, 407, 24, 60, 92, 8, 1, 11, 10, 1
1, 500, 80.0, 0.0, 80.0, 0.0, '607H0J', 309, 413, 14, 78, 94, 5, 1, 17, 42, 7
1, 500, 15.0, 0.0, 15.0, 0.0, 'F9IAAA', 304, 395, 19, 54, 91, 10, 3, 18, 16, 1
1, 500, 273.0, 0.0, 273.0, 0.0, 'KDSUMS', 293, 408, 18, 79, 106, 11, 1, 25, 13, 23
1, 500, 73.0, 0.0, 73.0, 0.0, '7S9WZH', 298, 403, 24, 67, 123, 5, 2, 19, 27, 6
1, 500, 82.0, 0.0, 82.0, 0.0, 'WSN9X6', 302, 380, 21, 66, 104, 5, 4, 14, 18, 17
1, 500, 211.0, 0.0, 211.0, 0.0, 'V2M4G2', 293, 388, 13, 80, 104, 8, 1, 4, 22, 13
1, 500, 18.0, 0.0, 18.0, 0.0, 'K9M0NV', 298, 406, 24, 71, 96, 10, 1, 20, 18, 18
1, 500, 52.0, 0.0, 52.0, 0.0, '2IY42J', 309, 424, 19, 71, 109, 11, 3, 11, 23, 10
1, 500, 53.0, 0.0, 53.0, 0.0, 'HRLNZF', 296, 426, 21, 67, 92, 18, 3, 7, 24, 23
1, 500, 26.0, 0.0, 26.0, 0.0, 'YA2DNG', 290, 425, 23, 79, 111, 9, 5, 23, 40, 2
