grassNum,grassEn,grassRe,grassFa,wolfNum,wolfEn,wolfRe,wolfFa,rabbitNum,rabbitEn,rabbitRe,rabbitFa
32,76.1,130.2,0.0,4,305.2,384.0,26.2,16,65.8,97.2,17.1
26,87.5,130.2,0.0,4,311.8,384.0,26.2,15,62.1,99.8,16.3
25,96.5,130.4,0.2,4,289.3,384.0,26.2,16,53.8,100.7,15.5
21,106.0,130.8,0.2,5,247.1,382.7,26.1,15,56.5,101.4,15.9
21,100.0,129.2,1.2,5,223.4,382.7,26.1,15,57.1,102.6,15.3
20,100.2,127.5,1.5,5,197.3,382.7,26.1,17,54.8,105.0,15.7
22,102.3,128.2,1.8,5,171.2,382.7,26.1,16,46.4,104.8,14.8
27,96.9,128.0,1.5,5,162.1,382.7,26.1,13,43.3,106.2,14.4
30,87.6,127.3,2.0,5,136.0,382.7,26.1,12,57.2,106.1,12.9
29,94.5,126.4,1.9,4,162.5,378.9,24.2,12,54.1,105.7,14.6
27,105.0,126.2,1.9,4,149.3,378.9,24.2,11,55.0,104.8,17.2
33,94.2,125.3,2.5,4,125.2,378.9,24.2,12,44.4,104.8,17.9
36,94.6,125.7,2.8,4,101.0,378.9,24.2,9,60.9,105.3,19.0
39,97.4,126.7,2.7,4,100.1,378.9,24.2,8,62.0,105.8,19.0
39,97.6,126.6,2.9,4,76.0,378.9,24.2,9,78.4,104.9,18.2
43,98.4,125.5,3.0,4,69.9,378.9,24.2,11,63.8,106.9,18.2
52,92.1,126.3,3.2,3,79.0,376.9,22.9,10,53.6,107.2,17.5
53,98.9,127.0,3.2,3,56.1,376.9,22.9,9,58.9,110.5,15.9
60,95.8,127.2,3.3,3,33.2,376.9,22.9,8,68.2,114.1,12.9
68,95.1,127.5,3.3,2,19.7,375.3,21.3,9,74.2,118.7,11.0
70,98.6,127.5,3.6,1,2.0,373.0,17.0,9,88.1,122.5,10.9
80,96.8,127.8,3.7,0,,,,10,82.7,123.4,10.9
